,Unnamed: 0,IPI,MTT,Import,Export,BalCom,Pib1,Pib2,ref,ouverture,cloture,ref.1,ouverture.1,cloture.1,ref.2,ouverture.2,cloture.2,ref.3,ouverture.3,cloture.3,ref.4,ouverture.4,cloture.4,ref.5,ouverture.5,cloture.5,ref.6,ouverture.6,cloture.6,ref.7,ouverture.7,cloture.7,ref.8,ouverture.8,cloture.8,ref.9,ouverture.9,cloture.9,ref.10,ouverture.10,cloture.10,ref.11,ouverture.11,cloture.11,ref.12,ouverture.12,cloture.12,ref.13,ouverture.13,cloture.13,ref.14,ouverture.14,cloture.14,ref.15,ouverture.15,cloture.15,ref.16,ouverture.16,cloture.16,ref.17,ouverture.17,cloture.17,ref.18,ouverture.18,cloture.18,ref.19,ouverture.19,cloture.19,ref.20,ouverture.20,cloture.20,ref.21,ouverture.21,cloture.21,ref.22,ouverture.22,cloture.22,TIL,ref.23,ouverture.23,cloture.23,ref.24,ouverture.24,cloture.24,Delice,ouverture.25,cloture.25,ref.26,ouverture.26,cloture.26,ref.27,ouverture.27,cloture.27,ref.28,ouverture.28,cloture.28,ref.29,ouverture.29,cloture.29,ref.30,ouverture.30,cloture.30,ref.31,ouverture.31,cloture.31,ref.32,ouverture.32,cloture.32,ref.33,ouverture.33,cloture.33,ref.34,ouverture.34,cloture.34,ref.35,ouverture.35,cloture.35,ref.36,ouverture.36,cloture.36,ref.37,ouverture.37,cloture.37,ref.38,ouverture.38,cloture.38,ref.39,ouverture.39,cloture.39,ref.40,ouverture.40,cloture.40,ref.41,ouverture.41,cloture.41,ref.42,ouverture.42,cloture.42,Price,Open,High,Low,Vol.,Change %
1,2018-01-02,92.8,5.53,3129.5,4339,-1221.8,1694.2,18158.6,16500,16690,16500,2450,2450,2460,3520,3420,3500,3120,3030,3030,15510,15500,15650,1890,1900,1900,26500,26500,27500,10750,11070,11070,13200,13380,13780,5860,5860,5940,12400,12650,12600,8400,8400,8250,8060,8200,8090,6100,6100,6250,740,720,740,3480,3500,3400,5390,5380,5350,3690,3650,3650,7430,7410,7410,2350,2350,2350,1480,1480,1440,10700,10700,10710,2650,2700,2670,,17880,17710,17710,1930,1970,1950,2810,2820,2820,98000,98000,100000,10910,10910,11490,3090,3090,3090,16840,17000,17300,42800,43000,43990,22010,22200,22100,4180,4150,4150,24000,23990,23990,11610,11790,11700,3690,3690,3720,7810,7820,7820,13810,14050,14470,18480,18450,18430,118100,118000,120000,36600,36000,36150,430,430,420,19400,19310,19880,6203.27,6287.26,6287.26,6175.95,368260,-1.25
2,2018-01-03,92.8,5.53,3129.5,4339,-1221.8,1694.2,18158.6,16500,16690,16500,2450,2450,2460,3520,3420,3500,3120,3030,3030,15510,15500,15650,1890,1900,1900,26500,26500,27500,10750,11070,11070,13200,13380,13780,5860,5860,5940,12400,12650,12600,8400,8400,8250,8060,8200,8090,6100,6100,6250,740,720,740,3480,3500,3400,5390,5380,5350,3690,3650,3650,7430,7410,7410,2350,2350,2350,1480,1480,1440,10700,10700,10710,2650,2700,2670,,17880,17710,17710,1930,1970,1950,2810,2820,2820,98000,98000,100000,10910,10910,11490,3090,3090,3090,16840,17000,17300,42800,43000,43990,22010,22200,22100,4180,4150,4150,24000,23990,23990,11610,11790,11700,3690,3690,3720,7810,7820,7820,13810,14050,14470,18480,18450,18430,118100,118000,120000,36600,36000,36150,430,430,420,19400,19310,19880,6257.17,6191.54,6257.24,6190.56,516340,0.87
3,2018-01-04,92.8,5.53,3129.5,4339,-1221.8,1694.2,18158.6,16500,16980,16980,2460,2540,2600,3500,3500,3490,3030,3030,3100,15650,15700,15790,1900,1880,1890,27500,28000,28490,11070,11500,11000,13780,13800,13600,5940,5940,6100,12600,12600,12500,8250,8340,8500,8060,8200,8090,6250,6250,6260,740,740,760,3400,3390,3290,5350,5310,5550,3650,3640,3740,7410,7200,7190,2350,2400,2460,1440,1440,1480,10710,10890,10900,2670,2700,2630,,17710,17890,17760,1950,1960,1950,2820,2890,2880,100000,98000,99980,11490,11490,11320,3090,3100,3100,17300,17780,17780,43990,43700,43500,22100,22100,22000,4150,4200,4170,23990,23990,23900,11700,11520,11690,3720,3700,3700,7820,7820,7820,14470,14100,14460,18430,18010,18000,120000,120000,118500,36150,36160,36470,420,420,430,19880,19880,19780,6248.93,6258.01,6280.6,6228.69,547880,-0.13
4,2018-01-05,92.8,5.53,3129.5,4339,-1221.8,1694.2,18158.6,16980,16900,16900,2600,2690,2690,3490,3400,3400,3100,3020,3010,15790,15820,16200,1890,1860,1860,28490,28480,27990,11000,11470,11490,13600,13550,13410,6100,6110,6180,12500,12590,12600,8500,8480,8390,8090,8000,8000,6260,6260,6260,760,790,760,3290,3200,3290,5550,5580,5580,3740,3780,3770,7190,6870,7180,2460,2570,2600,1480,1440,1460,10900,11000,10990,2630,2700,2620,,17760,17800,17800,1950,1950,1900,2880,2870,2880,99980,97200,97000,11320,11310,11320,3100,3100,3120,17780,17780,17780,43500,44000,43000,22000,22090,22000,4170,4140,4120,23900,23980,23980,11690,11650,11600,3700,3700,3620,7820,7810,7820,14460,14150,14460,18000,18010,17970,118500,118500,119900,36470,36410,36860,430,420,420,19780,19620,19780,6265.03,6240.59,6265.83,6226.92,710570,0.26
7,2018-01-08,92.8,5.53,3129.5,4339,-1221.8,1694.2,18158.6,16900,16900,16920,2690,2650,2650,3400,3400,3390,3010,3000,3000,16200,16200,17140,1840,1790,1860,27990,28440,28170,11490,11150,11350,13410,13420,13930,6180,6200,6240,12600,12500,12500,8390,8250,8210,8000,8000,8000,6260,6150,6100,760,750,740,3290,3280,3370,5580,5550,5500,3770,3710,3820,7180,7390,7390,2600,2710,2700,1460,1420,1440,10990,10990,10990,2620,2690,2550,,17800,17790,17780,1900,1950,1940,2880,2870,2880,97000,96990,96990,11320,11150,11100,3120,3100,3120,17780,17490,17490,43000,42100,44000,22000,22000,22440,4120,4120,4170,23980,23990,23980,11600,11450,11460,3620,3620,3630,7820,7800,7820,14460,14150,14460,17970,17970,17800,119900,120900,122530,36860,36890,37330,420,410,410,19780,19780,19900,6309.85,6265.08,6325.98,6264.27,632100,0.72
8,2018-01-09,92.8,5.53,3129.5,4339,-1221.8,1694.2,18158.6,16920,16900,16850,2650,2610,2580,3390,3380,3370,3000,3040,2970,17140,17300,16800,1860,1860,1810,28170,27990,28000,11350,11350,11360,13930,13800,13780,6240,6200,6160,12500,12450,12450,8210,8200,8020,8000,7990,8000,6100,6030,6150,740,740,740,3370,3370,3400,5500,5290,5500,3820,3820,3850,7390,7340,7320,2700,2650,2590,1440,1430,1430,10990,10900,10990,2550,2550,2600,,17780,17840,17750,1940,1940,1940,2880,2880,2800,96990,96970,95000,11100,10990,10900,3120,3120,3100,17490,17100,16890,44000,44200,43900,22440,22400,22400,4170,4160,4150,23980,23970,23970,11460,11450,11200,3630,3700,3630,7820,7820,7820,14460,14150,14460,17800,17800,17680,122530,123900,121900,37330,37330,37370,410,410,410,19900,19910,19610,6268.78,6313.8,6319.16,6263.88,530660,-0.65
9,2018-01-10,92.8,5.53,3129.5,4339,-1221.8,1694.2,18158.6,16850,16900,16850,2580,2510,2440,3370,3350,3300,2970,2940,2940,16800,16760,16550,1810,1830,1780,28000,27680,27000,11360,11400,11500,13780,13750,13540,6160,6180,6100,12450,12450,12400,8020,8000,7980,8000,7990,8000,6150,6150,6180,740,740,740,3400,3380,3420,5500,5490,5390,3850,3820,3850,7320,7290,7290,2590,2520,2490,1430,1460,1460,10990,10990,10990,2600,2620,2620,,17750,17750,17800,1940,1940,1950,2800,2880,2800,95000,94990,95000,10900,10880,10850,3100,3060,3100,16890,16700,17200,43900,44200,43900,22400,22060,22400,4150,4110,4100,23970,23970,23950,11200,11410,11340,3630,3630,3630,7820,7820,7810,14460,14200,14200,17680,17680,17550,121900,121500,120240,37370,37370,37500,410,410,410,19610,19630,19600,6235.6,6263.51,6263.53,6223.84,433080,-0.53
10,2018-01-11,92.8,5.53,3129.5,4339,-1221.8,1694.2,18158.6,16850,16700,16700,2440,2420,2370,3300,3300,3320,2940,2900,2900,16550,16360,16150,1780,1730,1730,27000,27020,27400,11500,11600,11500,13540,13550,13500,6100,6140,6200,12400,12460,12400,7980,7950,7980,8000,7990,8000,6180,6180,6150,740,740,760,3420,3430,3450,5390,5310,5460,3850,3850,3860,7290,7250,7250,2490,2560,2550,1460,1430,1460,10990,10780,10900,2620,2620,2610,,17800,17760,18200,1950,1910,1960,2800,2790,2840,95000,94380,94000,10850,10800,10800,3100,3100,3100,17200,16700,17000,43900,44200,43900,22400,22500,22700,4100,4100,4110,23950,23900,23800,11340,11380,11600,3630,3680,3640,7810,7800,7820,14200,14230,14200,17550,17500,18050,120240,120830,122000,37500,37420,38400,410,410,410,19600,19620,19500,6254.94,6233.3,6254.94,6233.3,518170,0.31
11,2018-01-12,92.8,5.53,3129.5,4339,-1221.8,1694.2,18158.6,16850,16700,16700,2440,2420,2370,3300,3300,3320,2940,2900,2900,16550,16360,16150,1780,1730,1730,27000,27020,27400,11500,11600,11500,13540,13550,13500,6100,6140,6200,12400,12460,12400,7980,7950,7980,8000,7990,8000,6180,6180,6150,740,740,760,3420,3430,3450,5390,5310,5460,3850,3850,3860,7290,7250,7250,2490,2560,2550,1460,1430,1460,10990,10780,10900,2620,2620,2610,,17800,17760,18200,1950,1910,1960,2800,2790,2840,95000,94380,94000,10850,10800,10800,3100,3100,3100,17200,16700,17000,43900,44200,43900,22400,22500,22700,4100,4100,4110,23950,23900,23800,11340,11380,11600,3630,3680,3640,7810,7800,7820,14200,14230,14200,17550,17500,18050,120240,120830,122000,37500,37420,38400,410,410,410,19600,19620,19500,6301.28,6263.58,6301.33,6263.58,717320,0.74
14,2018-01-15,92.8,5.53,3129.5,4339,-1221.8,1694.2,18158.6,17000,17500,16790,2300,2240,2240,3250,3270,3250,2980,3040,3020,16200,16200,16150,1790,1800,1800,27400,27890,27700,11700,11550,12000,13730,13530,13900,6390,6410,6390,12350,12320,12150,8050,8100,8100,8000,7760,8000,6150,6150,6150,730,740,760,3420,3400,3420,5550,5530,5510,3860,3860,3900,7190,7170,7150,2550,2500,2500,1470,1480,1470,10900,10950,10950,2620,2620,2580,,17810,17810,17810,1970,1960,1980,2840,2790,2840,91180,91160,90000,10790,10690,10740,3140,3080,3140,16500,16500,16980,43900,43490,44500,23000,23000,22900,4110,4110,4110,23600,23500,23300,11600,11300,11490,3680,3600,3650,7790,7770,7800,14000,14050,14050,18590,18890,18890,125000,126000,124900,39100,39500,39800,420,410,420,19860,19720,19550,6285.59,6294.82,6306.73,6278.88,633610,-0.25
