"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 11, 2020","6,854.55","6,888.83","6,888.83","6,839.19","599.03K","-0.49%"
"Dec 10, 2020","6,888.59","6,895.04","6,921.28","6,876.05","1.39M","-0.07%"
"Dec 09, 2020","6,893.34","6,874.89","6,907.70","6,864.23","1.68M","0.29%"
"Dec 08, 2020","6,873.25","6,857.74","6,883.17","6,837.52","2.74M","0.26%"
"Dec 07, 2020","6,855.60","6,830.68","6,866.40","6,822.13","1.81M","0.39%"
"Dec 04, 2020","6,828.93","6,834.66","6,835.44","6,807.03","883.51K","0.04%"
"Dec 03, 2020","6,826.12","6,840.07","6,853.63","6,805.16","1.85M","0.01%"
"Dec 02, 2020","6,825.23","6,832.61","6,838.60","6,809.90","770.29K","0.14%"
"Dec 01, 2020","6,815.49","6,838.81","6,845.67","6,806.55","550.12K","-0.10%"
"Nov 30, 2020","6,822.53","6,794.03","6,822.71","6,778.36","754.67K","0.59%"
"Nov 27, 2020","6,782.21","6,779.77","6,790.04","6,736.17","693.12K","0.13%"
"Nov 26, 2020","6,773.73","6,804.99","6,807.70","6,762.53","1.00M","-0.47%"
"Nov 25, 2020","6,805.39","6,757.30","6,805.39","6,753.17","714.41K","0.74%"
"Nov 24, 2020","6,755.07","6,759.86","6,767.59","6,742.01","810.83K","0.13%"
"Nov 23, 2020","6,746.34","6,763.23","6,768.00","6,724.89","1.90M","0.07%"
"Nov 20, 2020","6,741.81","6,739.41","6,747.28","6,718.08","1.17M","0.04%"
"Nov 19, 2020","6,739.13","6,714.88","6,740.33","6,705.79","2.18M","0.33%"
"Nov 18, 2020","6,717.07","6,698.63","6,717.07","6,677.11","1.91M","0.25%"
"Nov 17, 2020","6,700.24","6,688.35","6,700.24","6,660.94","1.32M","0.40%"
"Nov 16, 2020","6,673.77","6,645.79","6,674.47","6,631.68","877.17K","0.46%"
"Nov 13, 2020","6,643.39","6,635.80","6,654.57","6,632.97","531.93K","0.19%"
"Nov 12, 2020","6,630.82","6,638.14","6,649.63","6,616.14","844.82K","0.13%"
"Nov 11, 2020","6,622.25","6,625.39","6,647.26","6,602.52","588.55K","0.01%"
"Nov 10, 2020","6,621.56","6,615.66","6,630.16","6,592.02","691.52K","0.26%"
"Nov 09, 2020","6,604.06","6,591.25","6,619.61","6,578.46","439.33K","0.55%"
"Nov 06, 2020","6,567.99","6,535.74","6,581.79","6,523.24","462.72K","0.49%"
"Nov 05, 2020","6,535.74","6,572.44","6,590.48","6,524.12","335.44K","-0.17%"
"Nov 04, 2020","6,546.61","6,590.45","6,593.62","6,527.92","260.53K","-0.04%"
"Nov 03, 2020","6,549.20","6,554.48","6,554.48","6,518.69","495.98K","0.11%"
"Nov 02, 2020","6,541.98","6,580.76","6,584.77","6,520.69","265.44K","-0.20%"
"Oct 30, 2020","6,555.10","6,617.44","6,617.44","6,537.95","305.83K","-0.82%"
"Oct 28, 2020","6,609.61","6,645.55","6,660.19","6,592.45","442.40K","-0.25%"
"Oct 27, 2020","6,626.12","6,650.48","6,655.05","6,582.40","364.39K","-0.30%"
"Oct 26, 2020","6,645.81","6,688.03","6,688.92","6,625.81","329.15K","-0.26%"
"Oct 23, 2020","6,662.96","6,650.82","6,707.12","6,646.68","342.74K","0.20%"
"Oct 22, 2020","6,649.46","6,699.02","6,710.33","6,647.84","802.24K","0.00%"
"Oct 21, 2020","6,649.24","6,624.84","6,650.68","6,616.50","605.66K","-0.02%"
"Oct 20, 2020","6,650.87","6,703.16","6,704.05","6,627.67","533.81K","-0.46%"
"Oct 19, 2020","6,681.27","6,678.59","6,693.91","6,659.01","324.67K","0.07%"
"Oct 16, 2020","6,676.40","6,667.97","6,699.74","6,631.46","541.99K","0.20%"
"Oct 14, 2020","6,662.80","6,668.11","6,669.96","6,638.90","497.89K","0.12%"
"Oct 13, 2020","6,655.08","6,672.76","6,688.17","6,628.16","451.95K","-0.04%"
"Oct 12, 2020","6,658.05","6,681.17","6,683.77","6,634.67","390.67K","-0.26%"
"Oct 09, 2020","6,675.68","6,702.57","6,702.57","6,664.45","403.84K","0.05%"
"Oct 08, 2020","6,672.46","6,672.24","6,712.67","6,658.04","508.47K","0.01%"
"Oct 07, 2020","6,671.97","6,777.76","6,786.73","6,668.46","937.39K","-1.06%"
"Oct 06, 2020","6,743.14","6,714.19","6,752.54","6,711.42","831.27K","0.84%"
"Oct 05, 2020","6,687.17","6,584.74","6,692.34","6,584.74","563.75K","1.82%"
"Oct 02, 2020","6,567.83","6,577.21","6,577.21","6,470.12","1.07M","-0.17%"
"Oct 01, 2020","6,579.02","6,751.69","6,757.33","6,570.13","708.16K","-2.51%"
"Sep 30, 2020","6,748.63","6,833.13","6,842.19","6,724.97","782.69K","-1.20%"
"Sep 29, 2020","6,830.27","6,827.54","6,830.82","6,771.16","577.43K","0.83%"
"Sep 28, 2020","6,774.35","6,822.18","6,826.18","6,753.23","495.50K","-0.52%"
