,IPI,MTT,Import,Export,BalCom,Pib1,Pib2
2018-01-01,92.8,5.53,3129.5,4339,,1694.2,18158.6
2018-01-02,92.8,5.53,3129.5,4339,,1694.2,18158.6
2018-01-03,92.8,5.53,3129.5,4339,,1694.2,18158.6
2018-01-04,92.8,5.53,3129.5,4339,,1694.2,18158.6
2018-01-05,92.8,5.53,3129.5,4339,,1694.2,18158.6
2018-01-06,92.8,5.53,3129.5,4339,,1694.2,18158.6
2018-01-07,92.8,5.53,3129.5,4339,,1694.2,18158.6
2018-01-08,92.8,5.53,3129.5,4339,,1694.2,18158.6
2018-01-09,92.8,5.53,3129.5,4339,,1694.2,18158.6
2018-01-10,92.8,5.53,3129.5,4339,,1694.2,18158.6
2018-01-11,92.8,5.53,3129.5,4339,,1694.2,18158.6
2018-01-12,92.8,5.53,3129.5,4339,,1694.2,18158.6
2018-01-13,92.8,5.53,3129.5,4339,,1694.2,18158.6
2018-01-14,92.8,5.53,3129.5,4339,,1694.2,18158.6
2018-01-15,92.8,5.53,3129.5,4339,,1694.2,18158.6
2018-01-16,92.8,5.53,3129.5,4339,,1694.2,18158.6
2018-01-17,92.8,5.53,3129.5,4339,,1694.2,18158.6
2018-01-18,92.8,5.53,3129.5,4339,,1694.2,18158.6
2018-01-19,92.8,5.53,3129.5,4339,,1694.2,18158.6
2018-01-20,92.8,5.53,3129.5,4339,,1694.2,18158.6
2018-01-21,92.8,5.53,3129.5,4339,,1694.2,18158.6
2018-01-22,92.8,5.53,3129.5,4339,,1694.2,18158.6
2018-01-23,92.8,5.53,3129.5,4339,,1694.2,18158.6
2018-01-24,92.8,5.53,3129.5,4339,,1694.2,18158.6
2018-01-25,92.8,5.53,3129.5,4339,,1694.2,18158.6
2018-01-26,92.8,5.53,3129.5,4339,,1694.2,18158.6
2018-01-27,92.8,5.53,3129.5,4339,,1694.2,18158.6
2018-01-28,92.8,5.53,3129.5,4339,,1694.2,18158.6
2018-01-29,92.8,5.53,3129.5,4339,,1694.2,18158.6
2018-01-30,92.8,5.53,3129.5,4339,,1694.2,18158.6
2018-01-31,92.8,5.53,3129.5,4339,,1694.2,18158.6
2018-02-01,88.3,5.61,3482.6,4486.3,-1221.8,1694.2,18158.6
2018-02-02,88.3,5.61,3482.6,4486.3,-1221.8,1694.2,18158.6
2018-02-03,88.3,5.61,3482.6,4486.3,-1221.8,1694.2,18158.6
2018-02-04,88.3,5.61,3482.6,4486.3,-1221.8,1694.2,18158.6
2018-02-05,88.3,5.61,3482.6,4486.3,-1221.8,1694.2,18158.6
2018-02-06,88.3,5.61,3482.6,4486.3,-1221.8,1694.2,18158.6
2018-02-07,88.3,5.61,3482.6,4486.3,-1221.8,1694.2,18158.6
2018-02-08,88.3,5.61,3482.6,4486.3,-1221.8,1694.2,18158.6
2018-02-09,88.3,5.61,3482.6,4486.3,-1221.8,1694.2,18158.6
2018-02-10,88.3,5.61,3482.6,4486.3,-1221.8,1694.2,18158.6
2018-02-11,88.3,5.61,3482.6,4486.3,-1221.8,1694.2,18158.6
