,TunisAir,court,ouverture,cloture,plus haut,smth 
2018-01-01,,,,,,
2018-01-02,,,,,,
2018-01-03,,"0,430","0,420","0,430",,
2018-01-04,,"0,420","0,420","0,430",,
2018-01-05,,"0,430","0,420","0,420",,
2018-01-06,,,,,,
2018-01-07,,,,,,
2018-01-08,,"0,420","0,410","0,410",,
2018-01-09,,"19,900","19,910","19,610",,
2018-01-10,,"19,630","19,600","19,880",,
2018-01-11,,"19,600","19,620","19,500",,
2018-01-12,,,,,,
2018-01-13,,,,,,
2018-01-14,,,,,,
2018-01-15,,"0,410","0,420","0,430",,
2018-01-16,,,,,,
2018-01-17,,,,,,
2018-01-18,,,,,,
2018-01-19,,,,,,
2018-01-20,,,,,,
2018-01-21,,,,,,
2018-01-22,,,,,,
2018-01-23,,,,,,
2018-01-24,,,,,,
2018-01-25,,,,,,
2018-01-26,,"0,400","0,400","0,410",,
2018-01-27,,,,,,
2018-01-28,,,,,,
2018-01-29,,,,,,
2018-01-30,,,,,,
2018-01-31,,,,,,
2018-02-01,,,,,,
2018-02-02,,,,,,
2018-02-03,,,,,,
2018-02-04,,,,,,
2018-02-05,,,,,,
2018-02-06,,,,,,
2018-02-07,,,,,,
2018-02-08,,,,,,
2018-02-09,,,,,,
2018-02-10,,,,,,
2018-02-11,,,,,,
2018-02-12,,,,,,
2018-02-13,,,,,,
2018-02-14,,,,,,
2018-02-15,,,,,,
2018-02-16,,,,,,
2018-02-17,,,,,,
2018-02-18,,,,,,
2018-02-19,,,,,,
2018-02-20,,"0,460","0,440","0,460",,
2018-02-21,,"20,000","20,200","20,470",,
2018-02-22,,,,,,
2018-02-23,,,,,,
2018-02-24,,,,,,
2018-02-25,,,,,,
2018-02-26,,,,,,
2018-02-27,,,,,,
2018-02-28,,,,,,
2018-03-01,,,,,,
2018-03-02,,,,,,
2018-03-03,,,,,,
2018-03-04,,,,,,
2018-03-05,,,,,,
2018-03-06,,,,,,
2018-03-07,,"0,450","0,460","0,450",,
2018-03-08,,"0,450","0,450","0,450",,
2018-03-09,,"0,450","0,450","0,450",,
2018-03-10,,,,,,
2018-03-11,,,,,,
2018-03-12,,"0,440","0,450","0,450",,
2018-03-13,,"0,450","0,450","0,450",,
2018-03-14,,"0,450","0,450","0,430",,
2018-03-15,,"23,550","23,410","24,250",,
2018-03-16,,"0,440","0,430","0,430",,
2018-03-17,,,,,,
2018-03-18,,,,,,
2018-03-19,,"23,690","23,460","23,500",,
2018-03-20,,,,,,
2018-03-21,,"0,410","0,420","0,420",,
2018-03-22,,"23,300","23,500","23,500",,
2018-03-23,,"0,420","0,420","0,420",,
2018-03-24,,,,,,
2018-03-25,,,,,,
2018-03-26,,"0,420","0,430","0,430",,
2018-03-27,,"0,430","0,430","0,430",,
2018-03-28,,"0,420","0,430","0,440",,
2018-03-29,,"0,430","0,440","0,430",,
2018-03-30,,"0,430","0,420","0,430",,
2018-03-31,,,,,,
2018-04-01,,,,,,
2018-04-02,,"49,960","49,950","50,400",,
2018-04-03,,"23,600","23,600","23,690",,
2018-04-04,,"0,440","0,430","0,440",,
2018-04-05,,"0,430","0,440","0,430",,
2018-04-06,,"0,430","0,430","0,430",,
2018-04-07,,,,,,
2018-04-08,,,,,,
2018-04-09,,,,,,
2018-04-10,,"0,430","0,420","0,450",,
2018-04-11,,"0,450","0,470","0,470",,
2018-04-12,,"45,000","45,810","46,350",,
2018-04-13,,"0,490","0,510","0,510",,
2018-04-14,,,,,,
2018-04-15,,,,,,
2018-04-16,,"48,000","47,990","47,680",,
2018-04-17,,"0,530","0,550","0,560",,
