,ADWYA,ref,ouverture,cloture
2018-01-01,,,,
2018-01-02,,,,
2018-01-03,,"5,390","5,380","5,350"
2018-01-04,,"5,350","5,310","5,550"
2018-01-05,,"5,550","5,580","5,580"
2018-01-06,,,,
2018-01-07,,,,
2018-01-08,,"5,580","5,550","5,500"
2018-01-09,,"5,500","5,290","5,500"
2018-01-10,,"5,500","5,490","5,390"
2018-01-11,,"5,390","5,310","5,460"
2018-01-12,,,,
2018-01-13,,,,
2018-01-14,,,,
2018-01-15,,"5,550","5,530","5,510"
2018-01-16,,,,
2018-01-17,,,,
2018-01-18,,,,
2018-01-19,,,,
2018-01-20,,,,
2018-01-21,,,,
2018-01-22,,,,
2018-01-23,,,,
2018-01-24,,,,
2018-01-25,,,,
2018-01-26,,"5,930","5,990","5,930"
2018-01-27,,,,
2018-01-28,,,,
2018-01-29,,,,
2018-01-30,,,,
2018-01-31,,,,
2018-02-01,,,,
2018-02-02,,,,
2018-02-03,,,,
2018-02-04,,,,
2018-02-05,,,,
2018-02-06,,,,
2018-02-07,,,,
2018-02-08,,,,
2018-02-09,,,,
2018-02-10,,,,
2018-02-11,,,,
2018-02-12,,,,
2018-02-13,,,,
2018-02-14,,,,
2018-02-15,,,,
2018-02-16,,,,
2018-02-17,,,,
2018-02-18,,,,
2018-02-19,,,,
2018-02-20,,"5,690","5,690","5,690"
2018-02-21,,"5,690","5,740","5,750"
2018-02-22,,,,
2018-02-23,,,,
2018-02-24,,,,
2018-02-25,,,,
2018-02-26,,,,
2018-02-27,,,,
2018-02-28,,,,
2018-03-01,,,,
2018-03-02,,,,
2018-03-03,,,,
2018-03-04,,,,
2018-03-05,,,,
2018-03-06,,,,
2018-03-07,,"5,680","5,690","5,680"
2018-03-08,,"5,680","5,700","5,600"
2018-03-09,,"5,600","5,600","5,600"
2018-03-10,,,,
2018-03-11,,,,
2018-03-12,,"5,600","5,600","5,650"
2018-03-13,,"5,650","5,650","5,650"
2018-03-14,,"5,650","5,740","5,600"
2018-03-15,,"5,600","5,790","5,780"
2018-03-16,,"5,780","5,790","5,740"
2018-03-17,,,,
2018-03-18,,,,
2018-03-19,,"5,740","5,740","5,740"
2018-03-20,,,,
2018-03-21,,"5,740","5,790","5,650"
2018-03-22,,"5,650","5,660","5,700"
2018-03-23,,"5,700","5,700","5,710"
2018-03-24,,,,
2018-03-25,,,,
2018-03-26,,"5,710","5,710","5,720"
2018-03-27,,"5,720","5,720","5,730"
2018-03-28,,"5,730","5,730","5,700"
2018-03-29,,"5,700","5,750","5,770"
2018-03-30,,"5,770","5,810","5,780"
2018-03-31,,,,
2018-04-01,,,,
2018-04-02,,"5,780","5,700","5,730"
2018-04-03,,"5,730","5,750","5,780"
2018-04-04,,"5,780","5,780","5,700"
2018-04-05,,"5,700","5,710","5,860"
2018-04-06,,"5,860","5,800","5,800"
2018-04-07,,,,
2018-04-08,,,,
2018-04-09,,,,
2018-04-10,,"5,800","5,850","5,720"
2018-04-11,,"5,720","5,820","5,790"
2018-04-12,,"5,790","5,750","5,790"
2018-04-13,,"5,790","5,860","5,810"
2018-04-14,,,,
2018-04-15,,,,
2018-04-16,,"5,810","5,820","5,800"
2018-04-17,,"5,800","5,790","5,750"
2018-04-18,,"5,750","5,750","5,790"
2018-04-19,,"5,790","5,820","5,710"
2018-04-20,,"5,710","5,540","5,700"
2018-04-21,,,,
2018-04-22,,,,
2018-04-23,,"5,700","5,710","5,710"
2018-04-24,,"5,710","5,710","5,710"
2018-04-25,,"5,710","5,720","5,740"
2018-04-26,,"5,740","5,710","5,730"
