,ARTES,ref,ouverture,cloture
2018-01-01,,,,
2018-01-02,,,,
2018-01-03,,"6,100","6,100","6,250"
2018-01-04,,"6,250","6,250","6,260"
2018-01-05,,"6,260","6,260","6,260"
2018-01-06,,,,
2018-01-07,,,,
2018-01-08,,"6,260","6,150","6,100"
2018-01-09,,"6,100","6,030","6,150"
2018-01-10,,"6,150","6,150","6,180"
2018-01-11,,"6,180","6,180","6,150"
2018-01-12,,,,
2018-01-13,,,,
2018-01-14,,,,
2018-01-15,,"6,150","6,150","6,150"
2018-01-16,,,,
2018-01-17,,,,
2018-01-18,,,,
2018-01-19,,,,
2018-01-20,,,,
2018-01-21,,,,
2018-01-22,,,,
2018-01-23,,,,
2018-01-24,,,,
2018-01-25,,,,
2018-01-26,,"6,630","6,540","6,590"
2018-01-27,,,,
2018-01-28,,,,
2018-01-29,,,,
2018-01-30,,,,
2018-01-31,,,,
2018-02-01,,,,
2018-02-02,,,,
2018-02-03,,,,
2018-02-04,,,,
2018-02-05,,,,
2018-02-06,,,,
2018-02-07,,,,
2018-02-08,,,,
2018-02-09,,,,
2018-02-10,,,,
2018-02-11,,,,
2018-02-12,,,,
2018-02-13,,,,
2018-02-14,,,,
2018-02-15,,,,
2018-02-16,,,,
2018-02-17,,,,
2018-02-18,,,,
2018-02-19,,,,
2018-02-20,,"6,530","6,540","6,560"
2018-02-21,,"6,560","6,560","6,740"
2018-02-22,,,,
2018-02-23,,,,
2018-02-24,,,,
2018-02-25,,,,
2018-02-26,,,,
2018-02-27,,,,
2018-02-28,,,,
2018-03-01,,,,
2018-03-02,,,,
2018-03-03,,,,
2018-03-04,,,,
2018-03-05,,,,
2018-03-06,,,,
2018-03-07,,"7,350","7,350","7,300"
2018-03-08,,"7,300","7,270","7,300"
2018-03-09,,"7,300","7,300","7,290"
2018-03-10,,,,
2018-03-11,,,,
2018-03-12,,"7,290","7,210","7,220"
2018-03-13,,"7,220","7,220","7,290"
2018-03-14,,"7,290","7,210","7,210"
2018-03-15,,"7,210","7,300","7,350"
2018-03-16,,"7,350","7,390","7,220"
2018-03-17,,,,
2018-03-18,,,,
2018-03-19,,"7,220","7,260","7,350"
2018-03-20,,,,
2018-03-21,,"7,350","7,250","7,290"
2018-03-22,,"7,290","7,390","7,350"
2018-03-23,,"7,350","7,350","7,350"
2018-03-24,,,,
2018-03-25,,,,
2018-03-26,,"7,350","7,350","7,350"
2018-03-27,,"7,350","7,380","7,380"
2018-03-28,,"7,380","7,350","7,350"
2018-03-29,,"7,350","7,280","7,300"
2018-03-30,,"7,300","7,280","7,290"
2018-03-31,,,,
2018-04-01,,,,
2018-04-02,,"7,290","7,300","7,350"
2018-04-03,,"7,350","7,350","7,300"
2018-04-04,,"7,300","7,270","7,350"
2018-04-05,,"7,350","7,350","7,250"
2018-04-06,,"7,250","7,350","7,340"
2018-04-07,,,,
2018-04-08,,,,
2018-04-09,,,,
2018-04-10,,"7,340","7,210","7,200"
2018-04-11,,"7,200","7,200","7,100"
2018-04-12,,"7,100","7,100","7,190"
2018-04-13,,"7,190","7,190","7,100"
2018-04-14,,,,
2018-04-15,,,,
2018-04-16,,"7,100","7,100","7,090"
2018-04-17,,"7,090","7,060","7,010"
2018-04-18,,"7,010","7,010","6,800"
2018-04-19,,"6,800","6,800","6,700"
2018-04-20,,"6,700","6,700","6,750"
2018-04-21,,,,
2018-04-22,,,,
2018-04-23,,"6,750","6,800","6,850"
2018-04-24,,"6,850","6,870","7,030"
2018-04-25,,"7,030","7,040","7,100"
2018-04-26,,"7,100","7,040","7,080"
