,ATL,ref,ouverture,cloture
2018-01-01,,,,
2018-01-02,,,,
2018-01-03,,"3,090","3,090","3,090"
2018-01-04,,"3,090","3,100","3,100"
2018-01-05,,"3,100","3,100","3,120"
2018-01-06,,,,
2018-01-07,,,,
2018-01-08,,"3,120","3,100","3,120"
2018-01-09,,"3,120","3,120","3,100"
2018-01-10,,"3,100","3,060","3,100"
2018-01-11,,"3,100","3,100","3,100"
2018-01-12,,,,
2018-01-13,,,,
2018-01-14,,,,
2018-01-15,,"3,140","3,080","3,140"
2018-01-16,,,,
2018-01-17,,,,
2018-01-18,,,,
2018-01-19,,,,
2018-01-20,,,,
2018-01-21,,,,
2018-01-22,,,,
2018-01-23,,,,
2018-01-24,,,,
2018-01-25,,,,
2018-01-26,,"3,300","3,290","3,280"
2018-01-27,,,,
2018-01-28,,,,
2018-01-29,,,,
2018-01-30,,,,
2018-01-31,,,,
2018-02-01,,,,
2018-02-02,,,,
2018-02-03,,,,
2018-02-04,,,,
2018-02-05,,,,
2018-02-06,,,,
2018-02-07,,,,
2018-02-08,,,,
2018-02-09,,,,
2018-02-10,,,,
2018-02-11,,,,
2018-02-12,,,,
2018-02-13,,,,
2018-02-14,,,,
2018-02-15,,,,
2018-02-16,,,,
2018-02-17,,,,
2018-02-18,,,,
2018-02-19,,,,
2018-02-20,,"3,190",,
2018-02-21,,"3,190","3,180","3,140"
2018-02-22,,,,
2018-02-23,,,,
2018-02-24,,,,
2018-02-25,,,,
2018-02-26,,,,
2018-02-27,,,,
2018-02-28,,,,
2018-03-01,,,,
2018-03-02,,,,
2018-03-03,,,,
2018-03-04,,,,
2018-03-05,,,,
2018-03-06,,,,
2018-03-07,,"3,100","3,100","3,100"
2018-03-08,,"3,100","3,100","3,100"
2018-03-09,,"3,100","3,150","3,100"
2018-03-10,,,,
2018-03-11,,,,
2018-03-12,,"3,100","3,100","3,100"
2018-03-13,,"3,100","3,080","3,100"
2018-03-14,,"3,100","3,090","3,070"
2018-03-15,,"3,070","3,090","3,090"
2018-03-16,,"3,090","3,070","3,090"
2018-03-17,,,,
2018-03-18,,,,
2018-03-19,,"3,090","3,090","3,070"
2018-03-20,,,,
2018-03-21,,"3,070","3,090","3,090"
2018-03-22,,"3,090","3,090","3,090"
2018-03-23,,"3,090","3,080","3,100"
2018-03-24,,,,
2018-03-25,,,,
2018-03-26,,"3,100","3,100","3,100"
2018-03-27,,"3,100","3,150","3,100"
2018-03-28,,"3,100","3,100","3,100"
2018-03-29,,"3,100","3,100","3,100"
2018-03-30,,"3,100","3,150","3,230"
2018-03-31,,,,
2018-04-01,,,,
2018-04-02,,"3,230","3,260","3,250"
2018-04-03,,"3,250","3,300","3,340"
2018-04-04,,"3,340","3,340","3,410"
2018-04-05,,"3,410","3,430","3,410"
2018-04-06,,"3,410","3,410","3,410"
2018-04-07,,,,
2018-04-08,,,,
2018-04-09,,,,
2018-04-10,,"3,410","3,400","3,400"
2018-04-11,,"3,400","3,420","3,400"
2018-04-12,,"3,400","3,400","3,400"
2018-04-13,,"3,400","3,360","3,400"
2018-04-14,,,,
2018-04-15,,,,
2018-04-16,,"3,400","3,300","3,400"
2018-04-17,,"3,400","3,400","3,370"
2018-04-18,,"3,370","3,400","3,400"
2018-04-19,,"3,400","3,400","3,400"
2018-04-20,,"3,400","3,320","3,320"
2018-04-21,,,,
2018-04-22,,,,
2018-04-23,,"3,320","3,400","3,320"
2018-04-24,,"3,320","3,330","3,370"
2018-04-25,,"3,370","3,370","3,330"
2018-04-26,,"3,330","3,380","3,350"
