,BH,ref,ouverture,cloture
2018-01-01,,,,
2018-01-02,,,,
2018-01-03,,"18,480","18,450","18,430"
2018-01-04,,"18,430","18,010","18,000"
2018-01-05,,"18,000","18,010","17,970"
2018-01-06,,,,
2018-01-07,,,,
2018-01-08,,"17,970","17,970","17,800"
2018-01-09,,"17,800","17,800","17,680"
2018-01-10,,"17,680","17,680","17,550"
2018-01-11,,"17,550","17,500","18,050"
2018-01-12,,,,
2018-01-13,,,,
2018-01-14,,,,
2018-01-15,,"18,590","18,890","18,890"
2018-01-16,,,,
2018-01-17,,,,
2018-01-18,,,,
2018-01-19,,,,
2018-01-20,,,,
2018-01-21,,,,
2018-01-22,,,,
2018-01-23,,,,
2018-01-24,,,,
2018-01-25,,,,
2018-01-26,,"18,400","18,510","19,000"
2018-01-27,,,,
2018-01-28,,,,
2018-01-29,,,,
2018-01-30,,,,
2018-01-31,,,,
2018-02-01,,,,
2018-02-02,,,,
2018-02-03,,,,
2018-02-04,,,,
2018-02-05,,,,
2018-02-06,,,,
2018-02-07,,,,
2018-02-08,,,,
2018-02-09,,,,
2018-02-10,,,,
2018-02-11,,,,
2018-02-12,,,,
2018-02-13,,,,
2018-02-14,,,,
2018-02-15,,,,
2018-02-16,,,,
2018-02-17,,,,
2018-02-18,,,,
2018-02-19,,,,
2018-02-20,,"20,780","20,780","20,750"
2018-02-21,,"20,750","20,950","20,880"
2018-02-22,,,,
2018-02-23,,,,
2018-02-24,,,,
2018-02-25,,,,
2018-02-26,,,,
2018-02-27,,,,
2018-02-28,,,,
2018-03-01,,,,
2018-03-02,,,,
2018-03-03,,,,
2018-03-04,,,,
2018-03-05,,,,
2018-03-06,,,,
2018-03-07,,"20,660","20,700","20,660"
2018-03-08,,"20,660","20,500","20,400"
2018-03-09,,"20,400","20,650","20,400"
2018-03-10,,,,
2018-03-11,,,,
2018-03-12,,"20,400","20,500","20,500"
2018-03-13,,"20,500","20,650","21,100"
2018-03-14,,"21,100","21,200","21,000"
2018-03-15,,"21,000","21,000","20,800"
2018-03-16,,"20,800","21,000","21,100"
2018-03-17,,,,
2018-03-18,,,,
2018-03-19,,"21,100","21,100","21,110"
2018-03-20,,,,
2018-03-21,,"21,110","20,920","21,150"
2018-03-22,,"21,150","21,220","21,700"
2018-03-23,,"21,700","21,700","21,490"
2018-03-24,,,,
2018-03-25,,,,
2018-03-26,,"21,490","21,510","20,950"
2018-03-27,,"20,950","21,000","21,250"
2018-03-28,,"21,250","21,390","21,400"
2018-03-29,,"21,400","21,570","21,400"
2018-03-30,,"21,400","21,500","21,700"
2018-03-31,,,,
2018-04-01,,,,
2018-04-02,,"21,700","22,000","22,490"
2018-04-03,,"22,490","22,550","22,450"
2018-04-04,,"22,450","22,450","22,200"
2018-04-05,,"22,200","22,300","22,000"
2018-04-06,,"22,000","21,900","21,600"
2018-04-07,,,,
2018-04-08,,,,
2018-04-09,,,,
2018-04-10,,"21,600","21,600","20,990"
2018-04-11,,"20,990","20,900","20,700"
2018-04-12,,"20,700","20,700","21,290"
2018-04-13,,"21,290","21,290","21,700"
2018-04-14,,,,
2018-04-15,,,,
2018-04-16,,"21,700","21,680","21,300"
2018-04-17,,"21,300","21,300","21,250"
2018-04-18,,"21,250","21,290","21,380"
2018-04-19,,"21,380","21,380","21,000"
2018-04-20,,"21,000","21,290","21,190"
2018-04-21,,,,
2018-04-22,,,,
2018-04-23,,"21,190","21,220","20,800"
2018-04-24,,"20,800","20,300","20,700"
2018-04-25,,"20,700","20,600","20,700"
2018-04-26,,"20,700","20,610","20,650"
