,BNA,ref,ouverture,cloture
2018-01-01,,,,
2018-01-02,,,,
2018-01-03,,"11,610","11,790","11,700"
2018-01-04,,"11,700","11,520","11,690"
2018-01-05,,"11,690","11,650","11,600"
2018-01-06,,,,
2018-01-07,,,,
2018-01-08,,"11,600","11,450","11,460"
2018-01-09,,"11,460","11,450","11,200"
2018-01-10,,"11,200","11,410","11,340"
2018-01-11,,"11,340","11,380","11,600"
2018-01-12,,,,
2018-01-13,,,,
2018-01-14,,,,
2018-01-15,,"11,600","11,300","11,490"
2018-01-16,,,,
2018-01-17,,,,
2018-01-18,,,,
2018-01-19,,,,
2018-01-20,,,,
2018-01-21,,,,
2018-01-22,,,,
2018-01-23,,,,
2018-01-24,,,,
2018-01-25,,,,
2018-01-26,,"12,000","12,000","12,000"
2018-01-27,,,,
2018-01-28,,,,
2018-01-29,,,,
2018-01-30,,,,
2018-01-31,,,,
2018-02-01,,,,
2018-02-02,,,,
2018-02-03,,,,
2018-02-04,,,,
2018-02-05,,,,
2018-02-06,,,,
2018-02-07,,,,
2018-02-08,,,,
2018-02-09,,,,
2018-02-10,,,,
2018-02-11,,,,
2018-02-12,,,,
2018-02-13,,,,
2018-02-14,,,,
2018-02-15,,,,
2018-02-16,,,,
2018-02-17,,,,
2018-02-18,,,,
2018-02-19,,,,
2018-02-20,,"13,180","13,100","13,080"
2018-02-21,,"13,080","13,010","12,980"
2018-02-22,,,,
2018-02-23,,,,
2018-02-24,,,,
2018-02-25,,,,
2018-02-26,,,,
2018-02-27,,,,
2018-02-28,,,,
2018-03-01,,,,
2018-03-02,,,,
2018-03-03,,,,
2018-03-04,,,,
2018-03-05,,,,
2018-03-06,,,,
2018-03-07,,"13,300","13,250","13,300"
2018-03-08,,"13,300","13,280","13,300"
2018-03-09,,"13,300","13,270","13,300"
2018-03-10,,,,
2018-03-11,,,,
2018-03-12,,"13,300","13,250","13,240"
2018-03-13,,"13,240","13,250","13,250"
2018-03-14,,"13,250","13,250","13,230"
2018-03-15,,"13,230","13,240","13,300"
2018-03-16,,"13,300","13,180","13,300"
2018-03-17,,,,
2018-03-18,,,,
2018-03-19,,"13,300","13,250","13,200"
2018-03-20,,,,
2018-03-21,,"13,200","13,200","13,200"
2018-03-22,,"13,200","13,200","13,200"
2018-03-23,,"13,200","13,160","13,200"
2018-03-24,,,,
2018-03-25,,,,
2018-03-26,,"13,200","13,150","13,190"
2018-03-27,,"13,190","13,190","13,160"
2018-03-28,,"13,160","13,160","13,190"
2018-03-29,,"13,190","13,190","13,000"
2018-03-30,,"13,000","13,000","13,000"
2018-03-31,,,,
2018-04-01,,,,
2018-04-02,,"13,000","13,000","13,000"
2018-04-03,,"13,000","13,000","13,390"
2018-04-04,,"13,390","13,300","13,300"
2018-04-05,,"13,300","13,100","13,350"
2018-04-06,,"13,350","13,300","13,300"
2018-04-07,,,,
2018-04-08,,,,
2018-04-09,,,,
2018-04-10,,"13,300","13,350","13,100"
2018-04-11,,"13,100","13,200","13,100"
2018-04-12,,"13,100","13,100","13,200"
2018-04-13,,"13,200","13,300","13,590"
2018-04-14,,,,
2018-04-15,,,,
2018-04-16,,"13,590","13,800","13,590"
2018-04-17,,"13,590","13,650","13,900"
2018-04-18,,"13,900","14,000","14,000"
2018-04-19,,"14,000","14,000","14,100"
2018-04-20,,"14,100","14,270","14,640"
2018-04-21,,,,
2018-04-22,,,,
2018-04-23,,"14,640","14,640","14,500"
2018-04-24,,"14,500","14,500","14,500"
2018-04-25,,"14,500","14,400","14,500"
2018-04-26,,"14,500","14,400","14,250"
