,BT,ref,ouverture,cloture
2018-01-01,,,,
2018-01-02,,,,
2018-01-03,,"7,810","7,820","7,820"
2018-01-04,,"7,820","7,820","7,820"
2018-01-05,,"7,820","7,810","7,820"
2018-01-06,,,,
2018-01-07,,,,
2018-01-08,,"7,820","7,800","7,820"
2018-01-09,,"7,820","7,820","7,820"
2018-01-10,,"7,820","7,820","7,810"
2018-01-11,,"7,810","7,800","7,820"
2018-01-12,,,,
2018-01-13,,,,
2018-01-14,,,,
2018-01-15,,"7,790","7,770","7,800"
2018-01-16,,,,
2018-01-17,,,,
2018-01-18,,,,
2018-01-19,,,,
2018-01-20,,,,
2018-01-21,,,,
2018-01-22,,,,
2018-01-23,,,,
2018-01-24,,,,
2018-01-25,,,,
2018-01-26,,"7,900","7,900","7,900"
2018-01-27,,,,
2018-01-28,,,,
2018-01-29,,,,
2018-01-30,,,,
2018-01-31,,,,
2018-02-01,,,,
2018-02-02,,,,
2018-02-03,,,,
2018-02-04,,,,
2018-02-05,,,,
2018-02-06,,,,
2018-02-07,,,,
2018-02-08,,,,
2018-02-09,,,,
2018-02-10,,,,
2018-02-11,,,,
2018-02-12,,,,
2018-02-13,,,,
2018-02-14,,,,
2018-02-15,,,,
2018-02-16,,,,
2018-02-17,,,,
2018-02-18,,,,
2018-02-19,,,,
2018-02-20,,"8,110","8,110","8,110"
2018-02-21,,"8,110","8,110","8,120"
2018-02-22,,,,
2018-02-23,,,,
2018-02-24,,,,
2018-02-25,,,,
2018-02-26,,,,
2018-02-27,,,,
2018-02-28,,,,
2018-03-01,,,,
2018-03-02,,,,
2018-03-03,,,,
2018-03-04,,,,
2018-03-05,,,,
2018-03-06,,,,
2018-03-07,,"8,210","8,210","8,250"
2018-03-08,,"8,250","8,220","8,320"
2018-03-09,,"8,320","8,320","8,360"
2018-03-10,,,,
2018-03-11,,,,
2018-03-12,,"8,360","8,360","8,400"
2018-03-13,,"8,400","8,360","8,400"
2018-03-14,,"8,400","8,400","8,400"
2018-03-15,,"8,400","8,400","8,500"
2018-03-16,,"8,500","8,880","9,010"
2018-03-17,,,,
2018-03-18,,,,
2018-03-19,,"9,010",,
2018-03-20,,,,
2018-03-21,,"9,410","9,550","9,780"
2018-03-22,,"9,780","9,800","9,860"
2018-03-23,,"9,860","9,860","9,850"
2018-03-24,,,,
2018-03-25,,,,
2018-03-26,,"9,850","9,850","9,850"
2018-03-27,,"9,850","9,850","9,860"
2018-03-28,,"9,860","9,870","9,900"
2018-03-29,,"9,900","9,900","10,120"
2018-03-30,,"10,120","10,120","10,300"
2018-03-31,,,,
2018-04-01,,,,
2018-04-02,,"10,300","10,380","10,350"
2018-04-03,,"10,350","10,350","10,370"
2018-04-04,,"10,370","10,390","10,390"
2018-04-05,,"10,390","10,390","10,380"
2018-04-06,,"10,380","10,370","10,370"
2018-04-07,,,,
2018-04-08,,,,
2018-04-09,,,,
2018-04-10,,"10,370","10,370","10,370"
2018-04-11,,"10,370","10,300","10,250"
2018-04-12,,"10,250","10,250","10,300"
2018-04-13,,"10,300","10,300","10,350"
2018-04-14,,,,
2018-04-15,,,,
2018-04-16,,"10,350","10,310","10,370"
2018-04-17,,"10,370","10,370","10,370"
2018-04-18,,"10,370","10,370","10,370"
2018-04-19,,"10,370","10,400","10,390"
2018-04-20,,"10,390","10,370","10,370"
2018-04-21,,,,
2018-04-22,,,,
2018-04-23,,"10,370","10,370","10,370"
2018-04-24,,"10,370","10,380","10,380"
2018-04-25,,"10,380","10,380","10,380"
2018-04-26,,"10,380","10,380","10,380"
