,CIL,ref,ouverture,cloture
2018-01-01,,,,
2018-01-02,,,,
2018-01-03,,"16,840","17,000","17,300"
2018-01-04,,"17,300","17,780","17,780"
2018-01-05,,"17,780",,
2018-01-06,,,,
2018-01-07,,,,
2018-01-08,,"17,780","17,490","17,490"
2018-01-09,,"17,490","17,100","16,890"
2018-01-10,,"16,890","16,700","17,200"
2018-01-11,,"17,200","16,700","17,000"
2018-01-12,,,,
2018-01-13,,,,
2018-01-14,,,,
2018-01-15,,"16,500","16,500","16,980"
2018-01-16,,,,
2018-01-17,,,,
2018-01-18,,,,
2018-01-19,,,,
2018-01-20,,,,
2018-01-21,,,,
2018-01-22,,,,
2018-01-23,,,,
2018-01-24,,,,
2018-01-25,,,,
2018-01-26,,"17,950",,
2018-01-27,,,,
2018-01-28,,,,
2018-01-29,,,,
2018-01-30,,,,
2018-01-31,,,,
2018-02-01,,,,
2018-02-02,,,,
2018-02-03,,,,
2018-02-04,,,,
2018-02-05,,,,
2018-02-06,,,,
2018-02-07,,,,
2018-02-08,,,,
2018-02-09,,,,
2018-02-10,,,,
2018-02-11,,,,
2018-02-12,,,,
2018-02-13,,,,
2018-02-14,,,,
2018-02-15,,,,
2018-02-16,,,,
2018-02-17,,,,
2018-02-18,,,,
2018-02-19,,,,
2018-02-20,,"17,490",,
2018-02-21,,"17,490","17,000","17,000"
2018-02-22,,,,
2018-02-23,,,,
2018-02-24,,,,
2018-02-25,,,,
2018-02-26,,,,
2018-02-27,,,,
2018-02-28,,,,
2018-03-01,,,,
2018-03-02,,,,
2018-03-03,,,,
2018-03-04,,,,
2018-03-05,,,,
2018-03-06,,,,
2018-03-07,,"17,000","17,290","16,950"
2018-03-08,,"16,950","16,950","17,000"
2018-03-09,,"17,000","17,000","17,000"
2018-03-10,,,,
2018-03-11,,,,
2018-03-12,,"17,000","17,290","17,290"
2018-03-13,,"17,290","17,280","17,280"
2018-03-14,,"17,280",,
2018-03-15,,"17,280","17,000","17,000"
2018-03-16,,"17,000",,
2018-03-17,,,,
2018-03-18,,,,
2018-03-19,,"17,000",,
2018-03-20,,,,
2018-03-21,,"17,000","17,000","17,000"
2018-03-22,,"17,000","17,000","17,000"
2018-03-23,,"17,000","17,200","17,200"
2018-03-24,,,,
2018-03-25,,,,
2018-03-26,,"17,200",,
2018-03-27,,"17,200","17,280","17,280"
2018-03-28,,"17,280",,
2018-03-29,,"17,280",,
2018-03-30,,"17,280",,
2018-03-31,,,,
2018-04-01,,,,
2018-04-02,,"17,280","17,200","17,200"
2018-04-03,,"17,200",,
2018-04-04,,"17,200","17,000","17,000"
2018-04-05,,"17,000","17,200","17,200"
2018-04-06,,"17,200","17,100","17,150"
2018-04-07,,,,
2018-04-08,,,,
2018-04-09,,,,
2018-04-10,,"17,150","17,000","17,000"
2018-04-11,,"17,000","17,200","17,200"
2018-04-12,,"17,200",,
2018-04-13,,"17,200","17,000","17,000"
2018-04-14,,,,
2018-04-15,,,,
2018-04-16,,"17,000","17,200","17,200"
2018-04-17,,"17,200",,
2018-04-18,,"17,200",,
2018-04-19,,"17,200",,
2018-04-20,,"17,200",,
2018-04-21,,,,
2018-04-22,,,,
2018-04-23,,"17,200",,
2018-04-24,,"17,200",,
2018-04-25,,"17,200","17,100","17,100"
2018-04-26,,"17,100","17,000","17,000"
2018-04-27,,"17,000","17,000","17,000"
2018-04-28,,,,
2018-04-29,,,,
2018-04-30,,"17,000",,
2018-05-01,,,,
2018-05-02,,"17,000","17,000","17,000"
2018-05-03,,"17,000",,
2018-05-04,,"17,000","17,000","17,400"
