,Delice,ref,ouverture,cloture
2018-01-01,,,,
2018-01-02,,,,
2018-01-03,,"16,500","16,690","16,500"
2018-01-04,,"16,500","16,980","16,980"
2018-01-05,,"16,980","16,900","16,900"
2018-01-06,,,,
2018-01-07,,,,
2018-01-08,,"16,900","16,900","16,920"
2018-01-09,,"16,920","16,900","16,850"
2018-01-10,,"16,850",,
2018-01-11,,"16,850","16,700","16,700"
2018-01-12,,,,
2018-01-13,,,,
2018-01-14,,,,
2018-01-15,,"17,000","17,500","16,790"
2018-01-16,,,,
2018-01-17,,,,
2018-01-18,,,,
2018-01-19,,,,
2018-01-20,,,,
2018-01-21,,,,
2018-01-22,,,,
2018-01-23,,,,
2018-01-24,,,,
2018-01-25,,,,
2018-01-26,,"17,280","17,290","17,150"
2018-01-27,,,,
2018-01-28,,,,
2018-01-29,,,,
2018-01-30,,,,
2018-01-31,,,,
2018-02-01,,,,
2018-02-02,,,,
2018-02-03,,,,
2018-02-04,,,,
2018-02-05,,,,
2018-02-06,,,,
2018-02-07,,,,
2018-02-08,,,,
2018-02-09,,,,
2018-02-10,,,,
2018-02-11,,,,
2018-02-12,,,,
2018-02-13,,,,
2018-02-14,,,,
2018-02-15,,,,
2018-02-16,,,,
2018-02-17,,,,
2018-02-18,,,,
2018-02-19,,,,
2018-02-20,,"18,350","18,020","18,350"
2018-02-21,,"18,350","18,100","18,300"
2018-02-22,,,,
2018-02-23,,,,
2018-02-24,,,,
2018-02-25,,,,
2018-02-26,,,,
2018-02-27,,,,
2018-02-28,,,,
2018-03-01,,,,
2018-03-02,,,,
2018-03-03,,,,
2018-03-04,,,,
2018-03-05,,,,
2018-03-06,,,,
2018-03-07,,"18,000","18,000","17,900"
2018-03-08,,"17,900","18,390","18,390"
2018-03-09,,"18,390","18,380","18,300"
2018-03-10,,,,
2018-03-11,,,,
2018-03-12,,"18,300","18,000","18,290"
2018-03-13,,"18,290","18,390","18,390"
2018-03-14,,"18,390","18,380","18,250"
2018-03-15,,"18,250","18,390","18,390"
2018-03-16,,"18,390","18,380","18,300"
2018-03-17,,,,
2018-03-18,,,,
2018-03-19,,"18,300",,
2018-03-20,,,,
2018-03-21,,"18,300","18,300","18,300"
2018-03-22,,"18,300","17,850","17,850"
2018-03-23,,"17,850","17,850","17,850"
2018-03-24,,,,
2018-03-25,,,,
2018-03-26,,"17,850","17,850","17,500"
2018-03-27,,"17,500","17,960","17,500"
2018-03-28,,"17,500","17,920","18,200"
2018-03-29,,"18,200","18,200","18,180"
2018-03-30,,"18,180","18,200","18,000"
2018-03-31,,,,
2018-04-01,,,,
2018-04-02,,"18,000","18,180","18,180"
2018-04-03,,"18,180","18,000","18,000"
2018-04-04,,"18,000","18,000","18,000"
2018-04-05,,"18,000","18,000","17,990"
2018-04-06,,"17,990","17,950","17,900"
2018-04-07,,,,
2018-04-08,,,,
2018-04-09,,,,
2018-04-10,,"17,900","18,000","17,800"
2018-04-11,,"17,800","17,950","17,900"
2018-04-12,,"17,900",,
2018-04-13,,"17,900","17,900","18,000"
2018-04-14,,,,
2018-04-15,,,,
2018-04-16,,"18,000","17,950","17,950"
2018-04-17,,"17,950","17,950","17,950"
2018-04-18,,"17,950","17,950","17,940"
2018-04-19,,"17,940","17,890","17,890"
2018-04-20,,"17,890","17,900","17,890"
2018-04-21,,,,
2018-04-22,,,,
2018-04-23,,"17,890","17,850","17,850"
2018-04-24,,"17,850","17,850","17,850"
2018-04-25,,"17,850","17,800","17,690"
2018-04-26,,"17,690","17,800","17,450"
2018-04-27,,"17,450","17,450","17,600"
2018-04-28,,,,
