,ENNAKL,ref,ouverture,cloture
2018-01-01,,,,
2018-01-02,,,,
2018-01-03,,"12,400","12,650","12,600"
2018-01-04,,"12,600","12,600","12,500"
2018-01-05,,"12,500","12,590","12,600"
2018-01-06,,,,
2018-01-07,,,,
2018-01-08,,"12,600","12,500","12,500"
2018-01-09,,"12,500","12,450","12,450"
2018-01-10,,"12,450","12,450","12,400"
2018-01-11,,"12,400","12,460","12,400"
2018-01-12,,,,
2018-01-13,,,,
2018-01-14,,,,
2018-01-15,,"12,350","12,320","12,150"
2018-01-16,,,,
2018-01-17,,,,
2018-01-18,,,,
2018-01-19,,,,
2018-01-20,,,,
2018-01-21,,,,
2018-01-22,,,,
2018-01-23,,,,
2018-01-24,,,,
2018-01-25,,,,
2018-01-26,,"11,300","11,200","11,390"
2018-01-27,,,,
2018-01-28,,,,
2018-01-29,,,,
2018-01-30,,,,
2018-01-31,,,,
2018-02-01,,,,
2018-02-02,,,,
2018-02-03,,,,
2018-02-04,,,,
2018-02-05,,,,
2018-02-06,,,,
2018-02-07,,,,
2018-02-08,,,,
2018-02-09,,,,
2018-02-10,,,,
2018-02-11,,,,
2018-02-12,,,,
2018-02-13,,,,
2018-02-14,,,,
2018-02-15,,,,
2018-02-16,,,,
2018-02-17,,,,
2018-02-18,,,,
2018-02-19,,,,
2018-02-20,,"11,000","10,970","10,970"
2018-02-21,,"10,970","11,000","11,000"
2018-02-22,,,,
2018-02-23,,,,
2018-02-24,,,,
2018-02-25,,,,
2018-02-26,,,,
2018-02-27,,,,
2018-02-28,,,,
2018-03-01,,,,
2018-03-02,,,,
2018-03-03,,,,
2018-03-04,,,,
2018-03-05,,,,
2018-03-06,,,,
2018-03-07,,"10,670","10,700","10,500"
2018-03-08,,"10,500","10,500","10,450"
2018-03-09,,"10,450","10,500","10,450"
2018-03-10,,,,
2018-03-11,,,,
2018-03-12,,"10,450","10,500","10,340"
2018-03-13,,"10,340","10,440","10,430"
2018-03-14,,"10,430","10,400","10,350"
2018-03-15,,"10,350","10,350","10,300"
2018-03-16,,"10,300","10,350","10,270"
2018-03-17,,,,
2018-03-18,,,,
2018-03-19,,"10,270","10,270","10,300"
2018-03-20,,,,
2018-03-21,,"10,300","10,310","10,500"
2018-03-22,,"10,500","10,500","10,500"
2018-03-23,,"10,500","10,800","10,500"
2018-03-24,,,,
2018-03-25,,,,
2018-03-26,,"10,500","10,740","10,500"
2018-03-27,,"10,500","10,500","10,500"
2018-03-28,,"10,500","10,490","10,390"
2018-03-29,,"10,390","10,400","10,250"
2018-03-30,,"10,250","10,350","10,300"
2018-03-31,,,,
2018-04-01,,,,
2018-04-02,,"10,300","10,400","10,300"
2018-04-03,,"10,300","10,300","10,300"
2018-04-04,,"10,300","10,300","10,300"
2018-04-05,,"10,300","10,290","10,280"
2018-04-06,,"10,280","10,290","10,250"
2018-04-07,,,,
2018-04-08,,,,
2018-04-09,,,,
2018-04-10,,"10,250","10,310","10,250"
2018-04-11,,"10,250","10,310","10,250"
2018-04-12,,"10,250","10,200","10,200"
2018-04-13,,"10,200","10,250","10,000"
2018-04-14,,,,
2018-04-15,,,,
2018-04-16,,"10,000","10,000","10,100"
2018-04-17,,"10,100","10,200","10,100"
2018-04-18,,"10,100","10,100","10,000"
2018-04-19,,"10,000","9,990","10,000"
2018-04-20,,"10,000","10,000","9,800"
2018-04-21,,,,
2018-04-22,,,,
2018-04-23,,"9,800","9,750","9,740"
2018-04-24,,"9,740","9,740","9,940"
2018-04-25,,"9,940","9,750","9,900"
2018-04-26,,"9,900","9,900","9,990"
