,ESSOUKNA,ref,ouverture,cloture
2018-01-01,,,,
2018-01-02,,,,
2018-01-03,,"3,690","3,650","3,650"
2018-01-04,,"3,650","3,640","3,740"
2018-01-05,,"3,740","3,780","3,770"
2018-01-06,,,,
2018-01-07,,,,
2018-01-08,,"3,770","3,710","3,820"
2018-01-09,,"3,820","3,820","3,850"
2018-01-10,,"3,850",,
2018-01-11,,"3,850","3,850","3,860"
2018-01-12,,,,
2018-01-13,,,,
2018-01-14,,,,
2018-01-15,,"3,860","3,860","3,900"
2018-01-16,,,,
2018-01-17,,,,
2018-01-18,,,,
2018-01-19,,,,
2018-01-20,,,,
2018-01-21,,,,
2018-01-22,,,,
2018-01-23,,,,
2018-01-24,,,,
2018-01-25,,,,
2018-01-26,,"3,760","3,700","3,760"
2018-01-27,,,,
2018-01-28,,,,
2018-01-29,,,,
2018-01-30,,,,
2018-01-31,,,,
2018-02-01,,,,
2018-02-02,,,,
2018-02-03,,,,
2018-02-04,,,,
2018-02-05,,,,
2018-02-06,,,,
2018-02-07,,,,
2018-02-08,,,,
2018-02-09,,,,
2018-02-10,,,,
2018-02-11,,,,
2018-02-12,,,,
2018-02-13,,,,
2018-02-14,,,,
2018-02-15,,,,
2018-02-16,,,,
2018-02-17,,,,
2018-02-18,,,,
2018-02-19,,,,
2018-02-20,,"3,760","3,750","3,750"
2018-02-21,,"3,750",,
2018-02-22,,,,
2018-02-23,,,,
2018-02-24,,,,
2018-02-25,,,,
2018-02-26,,,,
2018-02-27,,,,
2018-02-28,,,,
2018-03-01,,,,
2018-03-02,,,,
2018-03-03,,,,
2018-03-04,,,,
2018-03-05,,,,
2018-03-06,,,,
2018-03-07,,"3,640","3,610","3,640"
2018-03-08,,"3,640","3,640","3,690"
2018-03-09,,"3,690","3,640","3,700"
2018-03-10,,,,
2018-03-11,,,,
2018-03-12,,"3,700","3,700","3,700"
2018-03-13,,"3,700",,
2018-03-14,,"3,700","3,700","3,690"
2018-03-15,,"3,690",,
2018-03-16,,"3,690",,
2018-03-17,,,,
2018-03-18,,,,
2018-03-19,,"3,690","3,690","3,690"
2018-03-20,,,,
2018-03-21,,"3,690","3,690","3,690"
2018-03-22,,"3,690",,
2018-03-23,,"3,690","3,650","3,690"
2018-03-24,,,,
2018-03-25,,,,
2018-03-26,,"3,690","3,690","3,650"
2018-03-27,,"3,650","3,690","3,650"
2018-03-28,,"3,650","3,690","3,690"
2018-03-29,,"3,690","3,680","3,670"
2018-03-30,,"3,670","3,680","3,680"
2018-03-31,,,,
2018-04-01,,,,
2018-04-02,,"3,680",,
2018-04-03,,"3,680","3,620","3,670"
2018-04-04,,"3,670","3,630","3,670"
2018-04-05,,"3,670",,
2018-04-06,,"3,670",,
2018-04-07,,,,
2018-04-08,,,,
2018-04-09,,,,
2018-04-10,,"3,670","3,630","3,620"
2018-04-11,,"3,620","3,670","3,670"
2018-04-12,,"3,670","3,670","3,670"
2018-04-13,,"3,670","3,670","3,670"
2018-04-14,,,,
2018-04-15,,,,
2018-04-16,,"3,670","3,670","3,670"
2018-04-17,,"3,670","3,640","3,670"
2018-04-18,,"3,670","3,600","3,600"
2018-04-19,,"3,600","3,530","3,600"
2018-04-20,,"3,600","3,580","3,600"
2018-04-21,,,,
2018-04-22,,,,
2018-04-23,,"3,600","3,570","3,670"
2018-04-24,,"3,670","3,600","3,660"
2018-04-25,,"3,660","3,600","3,650"
2018-04-26,,"3,650",,
2018-04-27,,"3,650","3,660","3,660"
2018-04-28,,,,
2018-04-29,,,,
2018-04-30,,"3,660","3,560","3,670"
2018-05-01,,,,
