,GIF,ref,ouverture,cloture
2018-01-01,,,,
2018-01-02,,,,
2018-01-03,,"1,480","1,480","1,440"
2018-01-04,,"1,440","1,440","1,480"
2018-01-05,,"1,480","1,440","1,460"
2018-01-06,,,,
2018-01-07,,,,
2018-01-08,,"1,460","1,420","1,440"
2018-01-09,,"1,440","1,430","1,430"
2018-01-10,,"1,430","1,460","1,460"
2018-01-11,,"1,460","1,430","1,460"
2018-01-12,,,,
2018-01-13,,,,
2018-01-14,,,,
2018-01-15,,"1,470","1,480","1,470"
2018-01-16,,,,
2018-01-17,,,,
2018-01-18,,,,
2018-01-19,,,,
2018-01-20,,,,
2018-01-21,,,,
2018-01-22,,,,
2018-01-23,,,,
2018-01-24,,,,
2018-01-25,,,,
2018-01-26,,"1,500","1,480","1,470"
2018-01-27,,,,
2018-01-28,,,,
2018-01-29,,,,
2018-01-30,,,,
2018-01-31,,,,
2018-02-01,,,,
2018-02-02,,,,
2018-02-03,,,,
2018-02-04,,,,
2018-02-05,,,,
2018-02-06,,,,
2018-02-07,,,,
2018-02-08,,,,
2018-02-09,,,,
2018-02-10,,,,
2018-02-11,,,,
2018-02-12,,,,
2018-02-13,,,,
2018-02-14,,,,
2018-02-15,,,,
2018-02-16,,,,
2018-02-17,,,,
2018-02-18,,,,
2018-02-19,,,,
2018-02-20,,"1,530","1,520","1,520"
2018-02-21,,"1,520","1,500","1,520"
2018-02-22,,,,
2018-02-23,,,,
2018-02-24,,,,
2018-02-25,,,,
2018-02-26,,,,
2018-02-27,,,,
2018-02-28,,,,
2018-03-01,,,,
2018-03-02,,,,
2018-03-03,,,,
2018-03-04,,,,
2018-03-05,,,,
2018-03-06,,,,
2018-03-07,,"1,510","1,510","1,520"
2018-03-08,,"1,520","1,510","1,520"
2018-03-09,,"1,520","1,500","1,510"
2018-03-10,,,,
2018-03-11,,,,
2018-03-12,,"1,510","1,490","1,520"
2018-03-13,,"1,520","1,510","1,500"
2018-03-14,,"1,500","1,500","1,490"
2018-03-15,,"1,490","1,520","1,490"
2018-03-16,,"1,490","1,460","1,510"
2018-03-17,,,,
2018-03-18,,,,
2018-03-19,,"1,510","1,510","1,510"
2018-03-20,,,,
2018-03-21,,"1,510","1,500","1,500"
2018-03-22,,"1,500","1,460","1,500"
2018-03-23,,"1,500","1,460","1,500"
2018-03-24,,,,
2018-03-25,,,,
2018-03-26,,"1,500","1,490","1,490"
2018-03-27,,"1,490","1,470","1,500"
2018-03-28,,"1,500","1,480","1,500"
2018-03-29,,"1,500","1,450","1,500"
2018-03-30,,"1,500","1,460","1,500"
2018-03-31,,,,
2018-04-01,,,,
2018-04-02,,"1,500","1,480","1,460"
2018-04-03,,"1,460","1,500","1,490"
2018-04-04,,"1,490","1,490","1,480"
2018-04-05,,"1,480","1,480","1,480"
2018-04-06,,"1,480","1,450","1,480"
2018-04-07,,,,
2018-04-08,,,,
2018-04-09,,,,
2018-04-10,,"1,480","1,440","1,440"
2018-04-11,,"1,440","1,440","1,480"
2018-04-12,,"1,480","1,470","1,480"
2018-04-13,,"1,480",,
2018-04-14,,,,
2018-04-15,,,,
2018-04-16,,"1,480","1,470","1,480"
2018-04-17,,"1,480","1,470","1,480"
2018-04-18,,"1,480","1,470","1,480"
2018-04-19,,"1,480","1,460","1,480"
2018-04-20,,"1,480","1,470","1,500"
2018-04-21,,,,
2018-04-22,,,,
2018-04-23,,"1,500","1,500","1,490"
2018-04-24,,"1,490",,
2018-04-25,,"1,430","1,400","1,400"
2018-04-26,,"1,400","1,440","1,430"
2018-04-27,,"1,430","1,410","1,430"
