,HANNIBAL LEASE,ref,ouverture,cloture
2018-01-01,,,,
2018-01-02,,,,
2018-01-03,,"8,060",,
2018-01-04,,"8,060","8,200","8,090"
2018-01-05,,"8,090","8,000","8,000"
2018-01-06,,,,
2018-01-07,,,,
2018-01-08,,"8,000","8,000","8,000"
2018-01-09,,"8,000","7,990","8,000"
2018-01-10,,"8,000","7,990","8,000"
2018-01-11,,"8,000",,
2018-01-12,,,,
2018-01-13,,,,
2018-01-14,,,,
2018-01-15,,"8,000","7,760","8,000"
2018-01-16,,,,
2018-01-17,,,,
2018-01-18,,,,
2018-01-19,,,,
2018-01-20,,,,
2018-01-21,,,,
2018-01-22,,,,
2018-01-23,,,,
2018-01-24,,,,
2018-01-25,,,,
2018-01-26,,"8,170","8,000","8,170"
2018-01-27,,,,
2018-01-28,,,,
2018-01-29,,,,
2018-01-30,,,,
2018-01-31,,,,
2018-02-01,,,,
2018-02-02,,,,
2018-02-03,,,,
2018-02-04,,,,
2018-02-05,,,,
2018-02-06,,,,
2018-02-07,,,,
2018-02-08,,,,
2018-02-09,,,,
2018-02-10,,,,
2018-02-11,,,,
2018-02-12,,,,
2018-02-13,,,,
2018-02-14,,,,
2018-02-15,,,,
2018-02-16,,,,
2018-02-17,,,,
2018-02-18,,,,
2018-02-19,,,,
2018-02-20,,"8,000","8,080","8,080"
2018-02-21,,"8,080",,
2018-02-22,,,,
2018-02-23,,,,
2018-02-24,,,,
2018-02-25,,,,
2018-02-26,,,,
2018-02-27,,,,
2018-02-28,,,,
2018-03-01,,,,
2018-03-02,,,,
2018-03-03,,,,
2018-03-04,,,,
2018-03-05,,,,
2018-03-06,,,,
2018-03-07,,"7,970",,
2018-03-08,,"7,970","7,970","7,970"
2018-03-09,,"7,970",,
2018-03-10,,,,
2018-03-11,,,,
2018-03-12,,"7,970","7,810","8,000"
2018-03-13,,"8,000","7,990","7,990"
2018-03-14,,"7,990",,
2018-03-15,,"7,990","8,030","8,030"
2018-03-16,,"8,030",,
2018-03-17,,,,
2018-03-18,,,,
2018-03-19,,"8,030",,
2018-03-20,,,,
2018-03-21,,"8,030","7,970","8,000"
2018-03-22,,"8,000","8,000","7,970"
2018-03-23,,"7,970","7,960","7,960"
2018-03-24,,,,
2018-03-25,,,,
2018-03-26,,"7,960","7,970","7,970"
2018-03-27,,"7,970","7,970","7,970"
2018-03-28,,"7,970","7,970","7,970"
2018-03-29,,"7,970","7,970","8,000"
2018-03-30,,"8,000","8,000","8,000"
2018-03-31,,,,
2018-04-01,,,,
2018-04-02,,"8,000",,
2018-04-03,,"8,000","8,000","8,000"
2018-04-04,,"8,000",,
2018-04-05,,"8,000","7,990","8,000"
2018-04-06,,"8,000","8,000","8,000"
2018-04-07,,,,
2018-04-08,,,,
2018-04-09,,,,
2018-04-10,,"8,000","7,990","7,990"
2018-04-11,,"7,990",,
2018-04-12,,"7,990","7,850","7,990"
2018-04-13,,"7,990",,
2018-04-14,,,,
2018-04-15,,,,
2018-04-16,,"7,990",,
2018-04-17,,"7,990",,
2018-04-18,,"7,990","7,770","7,990"
2018-04-19,,"7,990","7,990","7,990"
2018-04-20,,"7,990","7,990","7,800"
2018-04-21,,,,
2018-04-22,,,,
2018-04-23,,"7,800","7,760","7,760"
2018-04-24,,"7,760","7,700","7,700"
2018-04-25,,"7,700","7,690","7,930"
2018-04-26,,"7,930","7,930","7,970"
2018-04-27,,"7,970",,
2018-04-28,,,,
2018-04-29,,,,
2018-04-30,,"7,970","7,780","7,900"
2018-05-01,,,,
2018-05-02,,"7,900","7,900","7,900"
