,TELNET,ref,ouverture,cloture
2018-01-01,,,,
2018-01-02,,,,
2018-01-03,,"13,200","13,380","13,780"
2018-01-04,,"13,780","13,800","13,600"
2018-01-05,,"13,600","13,550","13,410"
2018-01-06,,,,
2018-01-07,,,,
2018-01-08,,"13,410","13,420","13,930"
2018-01-09,,"13,930","13,800","13,780"
2018-01-10,,"13,780","13,750","13,540"
2018-01-11,,"13,540","13,550","13,500"
2018-01-12,,,,
2018-01-13,,,,
2018-01-14,,,,
2018-01-15,,"13,730","13,530","13,900"
2018-01-16,,,,
2018-01-17,,,,
2018-01-18,,,,
2018-01-19,,,,
2018-01-20,,,,
2018-01-21,,,,
2018-01-22,,,,
2018-01-23,,,,
2018-01-24,,,,
2018-01-25,,,,
2018-01-26,,"13,980","14,260","13,970"
2018-01-27,,,,
2018-01-28,,,,
2018-01-29,,,,
2018-01-30,,,,
2018-01-31,,,,
2018-02-01,,,,
2018-02-02,,,,
2018-02-03,,,,
2018-02-04,,,,
2018-02-05,,,,
2018-02-06,,,,
2018-02-07,,,,
2018-02-08,,,,
2018-02-09,,,,
2018-02-10,,,,
2018-02-11,,,,
2018-02-12,,,,
2018-02-13,,,,
2018-02-14,,,,
2018-02-15,,,,
2018-02-16,,,,
2018-02-17,,,,
2018-02-18,,,,
2018-02-19,,,,
2018-02-20,,"14,750","14,750","14,900"
2018-02-21,,"14,900","14,900","14,950"
2018-02-22,,,,
2018-02-23,,,,
2018-02-24,,,,
2018-02-25,,,,
2018-02-26,,,,
2018-02-27,,,,
2018-02-28,,,,
2018-03-01,,,,
2018-03-02,,,,
2018-03-03,,,,
2018-03-04,,,,
2018-03-05,,,,
2018-03-06,,,,
2018-03-07,,"14,800","14,800","14,740"
2018-03-08,,"14,740","14,700","14,500"
2018-03-09,,"14,500","14,600","14,500"
2018-03-10,,,,
2018-03-11,,,,
2018-03-12,,"14,500","14,490","14,500"
2018-03-13,,"14,500","14,700","14,450"
2018-03-14,,"14,450","14,700","14,400"
2018-03-15,,"14,400","14,450","14,270"
2018-03-16,,"14,270","14,530","14,980"
2018-03-17,,,,
2018-03-18,,,,
2018-03-19,,"14,980","14,980","14,900"
2018-03-20,,,,
2018-03-21,,"14,900","14,850","14,500"
2018-03-22,,"14,500","14,900","14,500"
2018-03-23,,"14,500","14,510","14,250"
2018-03-24,,,,
2018-03-25,,,,
2018-03-26,,"14,250","14,250","14,550"
2018-03-27,,"14,550","14,580","14,450"
2018-03-28,,"14,450","14,550","14,400"
2018-03-29,,"14,400","14,400","14,300"
2018-03-30,,"14,300","14,060","14,300"
2018-03-31,,,,
2018-04-01,,,,
2018-04-02,,"14,300","14,300","14,320"
2018-04-03,,"14,320","14,400","14,390"
2018-04-04,,"14,390","14,300","14,250"
2018-04-05,,"14,250","14,250","14,350"
2018-04-06,,"14,350","14,390","14,400"
2018-04-07,,,,
2018-04-08,,,,
2018-04-09,,,,
2018-04-10,,"14,400","14,400","14,160"
2018-04-11,,"14,160","14,160","14,400"
2018-04-12,,"14,400","14,400","14,390"
2018-04-13,,"14,390","14,400","14,390"
2018-04-14,,,,
2018-04-15,,,,
2018-04-16,,"14,390","14,400","14,300"
2018-04-17,,"14,300","14,380","14,350"
2018-04-18,,"14,350","14,360","14,350"
2018-04-19,,"14,350","14,310","14,400"
2018-04-20,,"14,400","14,320","14,380"
2018-04-21,,,,
2018-04-22,,,,
2018-04-23,,"14,380","14,380","14,350"
2018-04-24,,"14,350","14,350","14,330"
2018-04-25,,"14,330","14,130","14,290"
2018-04-26,,"14,290","14,200","14,280"
