,PGH,ref,ouverture,cloture
2018-01-01,,,,
2018-01-02,,,,
2018-01-03,,"10,910","10,910","11,490"
2018-01-04,,"11,490","11,490","11,320"
2018-01-05,,"11,320","11,310","11,320"
2018-01-06,,,,
2018-01-07,,,,
2018-01-08,,"11,320","11,150","11,100"
2018-01-09,,"11,100","10,990","10,900"
2018-01-10,,"10,900","10,880","10,850"
2018-01-11,,"10,850","10,800","10,800"
2018-01-12,,,,
2018-01-13,,,,
2018-01-14,,,,
2018-01-15,,"10,790","10,690","10,740"
2018-01-16,,,,
2018-01-17,,,,
2018-01-18,,,,
2018-01-19,,,,
2018-01-20,,,,
2018-01-21,,,,
2018-01-22,,,,
2018-01-23,,,,
2018-01-24,,,,
2018-01-25,,,,
2018-01-26,,"10,640","10,640","10,600"
2018-01-27,,,,
2018-01-28,,,,
2018-01-29,,,,
2018-01-30,,,,
2018-01-31,,,,
2018-02-01,,,,
2018-02-02,,,,
2018-02-03,,,,
2018-02-04,,,,
2018-02-05,,,,
2018-02-06,,,,
2018-02-07,,,,
2018-02-08,,,,
2018-02-09,,,,
2018-02-10,,,,
2018-02-11,,,,
2018-02-12,,,,
2018-02-13,,,,
2018-02-14,,,,
2018-02-15,,,,
2018-02-16,,,,
2018-02-17,,,,
2018-02-18,,,,
2018-02-19,,,,
2018-02-20,,"10,600","10,620","10,620"
2018-02-21,,"10,620","10,600","10,600"
2018-02-22,,,,
2018-02-23,,,,
2018-02-24,,,,
2018-02-25,,,,
2018-02-26,,,,
2018-02-27,,,,
2018-02-28,,,,
2018-03-01,,,,
2018-03-02,,,,
2018-03-03,,,,
2018-03-04,,,,
2018-03-05,,,,
2018-03-06,,,,
2018-03-07,,"10,600","10,630","10,600"
2018-03-08,,"10,600","10,620","10,600"
2018-03-09,,"10,600","10,600","10,600"
2018-03-10,,,,
2018-03-11,,,,
2018-03-12,,"10,600","10,600","10,600"
2018-03-13,,"10,600","10,590","10,600"
2018-03-14,,"10,600","10,510","10,500"
2018-03-15,,"10,500","10,500","10,500"
2018-03-16,,"10,500","10,300","10,300"
2018-03-17,,,,
2018-03-18,,,,
2018-03-19,,"10,300","10,600","10,500"
2018-03-20,,,,
2018-03-21,,"10,500","10,500","10,200"
2018-03-22,,"10,200","10,500","10,190"
2018-03-23,,"10,190","10,150","10,050"
2018-03-24,,,,
2018-03-25,,,,
2018-03-26,,"10,050","10,400","10,050"
2018-03-27,,"10,050","10,050","10,300"
2018-03-28,,"10,300","10,290","10,290"
2018-03-29,,"10,290","10,290","10,100"
2018-03-30,,"10,100","10,100","10,100"
2018-03-31,,,,
2018-04-01,,,,
2018-04-02,,"10,100","10,250","10,100"
2018-04-03,,"10,100","10,100","10,100"
2018-04-04,,"10,100","10,300","10,490"
2018-04-05,,"10,490","10,300","10,400"
2018-04-06,,"10,400","10,490","10,100"
2018-04-07,,,,
2018-04-08,,,,
2018-04-09,,,,
2018-04-10,,"10,100","10,100","10,390"
2018-04-11,,"10,390","10,400","10,380"
2018-04-12,,"10,380","10,380","10,350"
2018-04-13,,"10,350","10,100","10,320"
2018-04-14,,,,
2018-04-15,,,,
2018-04-16,,"10,320","10,320","10,290"
2018-04-17,,"10,290","10,060","10,190"
2018-04-18,,"10,190","10,150","10,200"
2018-04-19,,"10,200","10,250","10,200"
2018-04-20,,"10,200","10,240","10,230"
2018-04-21,,,,
2018-04-22,,,,
2018-04-23,,"10,230","10,240","10,230"
2018-04-24,,"10,230","10,200","10,200"
2018-04-25,,"10,200","10,180","10,040"
2018-04-26,,"10,040","10,190","10,180"
