,SAH,ref,ouverture,cloture
2018-01-01,,,,
2018-01-02,,,,
2018-01-03,,"15,510","15,500","15,650"
2018-01-04,,"15,650","15,700","15,790"
2018-01-05,,"15,790","15,820","16,200"
2018-01-06,,,,
2018-01-07,,,,
2018-01-08,,"16,200","16,200","17,140"
2018-01-09,,"17,140","17,300","16,800"
2018-01-10,,"16,800","16,760","16,550"
2018-01-11,,"16,550","16,360","16,150"
2018-01-12,,,,
2018-01-13,,,,
2018-01-14,,,,
2018-01-15,,"16,200","16,200","16,150"
2018-01-16,,,,
2018-01-17,,,,
2018-01-18,,,,
2018-01-19,,,,
2018-01-20,,,,
2018-01-21,,,,
2018-01-22,,,,
2018-01-23,,,,
2018-01-24,,,,
2018-01-25,,,,
2018-01-26,,"15,200","15,390","15,450"
2018-01-27,,,,
2018-01-28,,,,
2018-01-29,,,,
2018-01-30,,,,
2018-01-31,,,,
2018-02-01,,,,
2018-02-02,,,,
2018-02-03,,,,
2018-02-04,,,,
2018-02-05,,,,
2018-02-06,,,,
2018-02-07,,,,
2018-02-08,,,,
2018-02-09,,,,
2018-02-10,,,,
2018-02-11,,,,
2018-02-12,,,,
2018-02-13,,,,
2018-02-14,,,,
2018-02-15,,,,
2018-02-16,,,,
2018-02-17,,,,
2018-02-18,,,,
2018-02-19,,,,
2018-02-20,,"15,470","15,680","15,650"
2018-02-21,,"15,650","15,680","15,580"
2018-02-22,,,,
2018-02-23,,,,
2018-02-24,,,,
2018-02-25,,,,
2018-02-26,,,,
2018-02-27,,,,
2018-02-28,,,,
2018-03-01,,,,
2018-03-02,,,,
2018-03-03,,,,
2018-03-04,,,,
2018-03-05,,,,
2018-03-06,,,,
2018-03-07,,"15,150","15,140","15,000"
2018-03-08,,"15,000","15,010","14,940"
2018-03-09,,"14,940","15,130","14,960"
2018-03-10,,,,
2018-03-11,,,,
2018-03-12,,"14,960","14,960","14,960"
2018-03-13,,"14,960","14,960","14,920"
2018-03-14,,"14,920","14,920","14,820"
2018-03-15,,"14,820","14,820","14,700"
2018-03-16,,"14,700","14,700","14,600"
2018-03-17,,,,
2018-03-18,,,,
2018-03-19,,"14,600","14,500","14,500"
2018-03-20,,,,
2018-03-21,,"14,500","14,460","14,400"
2018-03-22,,"14,400","14,400","14,500"
2018-03-23,,"14,500","14,500","14,600"
2018-03-24,,,,
2018-03-25,,,,
2018-03-26,,"14,600","15,000","14,980"
2018-03-27,,"14,980","14,970","14,800"
2018-03-28,,"14,800","14,800","14,700"
2018-03-29,,"14,700","14,700","14,350"
2018-03-30,,"14,350","14,350","14,450"
2018-03-31,,,,
2018-04-01,,,,
2018-04-02,,"14,450","14,750","14,700"
2018-04-03,,"14,700","14,650","14,750"
2018-04-04,,"14,750","14,600","14,750"
2018-04-05,,"14,750","14,750","14,600"
2018-04-06,,"14,600","14,500","14,700"
2018-04-07,,,,
2018-04-08,,,,
2018-04-09,,,,
2018-04-10,,"14,700","14,700","14,260"
2018-04-11,,"14,260","14,210","14,250"
2018-04-12,,"14,250","14,300","14,800"
2018-04-13,,"14,800","14,750","14,550"
2018-04-14,,,,
2018-04-15,,,,
2018-04-16,,"14,550","14,400","14,250"
2018-04-17,,"14,250","14,500","14,080"
2018-04-18,,"14,080","14,280","14,300"
2018-04-19,,"14,300","14,280","14,120"
2018-04-20,,"14,120","14,200","14,550"
2018-04-21,,,,
2018-04-22,,,,
2018-04-23,,"14,550","14,550","14,600"
2018-04-24,,"14,600","14,600","14,500"
2018-04-25,,"14,500","14,500","14,350"
2018-04-26,,"14,350","14,300","14,340"
