,SOPAT,ref,ouverture,cloture
2018-01-01,,,,
2018-01-02,,,,
2018-01-03,,"0,740","0,720","0,740"
2018-01-04,,"0,740","0,740","0,760"
2018-01-05,,"0,760","0,790","0,760"
2018-01-06,,,,
2018-01-07,,,,
2018-01-08,,"0,760","0,750","0,740"
2018-01-09,,"0,740","0,740","0,740"
2018-01-10,,"0,740","0,740","0,740"
2018-01-11,,"0,740","0,740","0,760"
2018-01-12,,,,
2018-01-13,,,,
2018-01-14,,,,
2018-01-15,,"0,730",,
2018-01-16,,,,
2018-01-17,,,,
2018-01-18,,,,
2018-01-19,,,,
2018-01-20,,,,
2018-01-21,,,,
2018-01-22,,,,
2018-01-23,,,,
2018-01-24,,,,
2018-01-25,,,,
2018-01-26,,"0,720","0,750","0,710"
2018-01-27,,,,
2018-01-28,,,,
2018-01-29,,,,
2018-01-30,,,,
2018-01-31,,,,
2018-02-01,,,,
2018-02-02,,,,
2018-02-03,,,,
2018-02-04,,,,
2018-02-05,,,,
2018-02-06,,,,
2018-02-07,,,,
2018-02-08,,,,
2018-02-09,,,,
2018-02-10,,,,
2018-02-11,,,,
2018-02-12,,,,
2018-02-13,,,,
2018-02-14,,,,
2018-02-15,,,,
2018-02-16,,,,
2018-02-17,,,,
2018-02-18,,,,
2018-02-19,,,,
2018-02-20,,"0,690","0,690","0,690"
2018-02-21,,"0,690","0,670","0,690"
2018-02-22,,,,
2018-02-23,,,,
2018-02-24,,,,
2018-02-25,,,,
2018-02-26,,,,
2018-02-27,,,,
2018-02-28,,,,
2018-03-01,,,,
2018-03-02,,,,
2018-03-03,,,,
2018-03-04,,,,
2018-03-05,,,,
2018-03-06,,,,
2018-03-07,,"0,690","0,670","0,690"
2018-03-08,,"0,690","0,700","0,700"
2018-03-09,,"0,700","0,700","0,680"
2018-03-10,,,,
2018-03-11,,,,
2018-03-12,,"0,680","0,670","0,670"
2018-03-13,,"0,670","0,670","0,670"
2018-03-14,,"0,670","0,660","0,650"
2018-03-15,,"0,650","0,650","0,650"
2018-03-16,,"0,650","0,640","0,640"
2018-03-17,,,,
2018-03-18,,,,
2018-03-19,,"0,640","0,640","0,640"
2018-03-20,,,,
2018-03-21,,"0,640","0,640","0,630"
2018-03-22,,"0,630","0,640","0,630"
2018-03-23,,"0,630","0,620","0,620"
2018-03-24,,,,
2018-03-25,,,,
2018-03-26,,"0,620","0,630","0,610"
2018-03-27,,"0,610","0,620","0,620"
2018-03-28,,"0,620","0,630","0,630"
2018-03-29,,"0,630","0,620","0,630"
2018-03-30,,"0,630","0,620","0,620"
2018-03-31,,,,
2018-04-01,,,,
2018-04-02,,"0,620","0,610","0,610"
2018-04-03,,"0,610","0,610","0,620"
2018-04-04,,"0,620","0,620","0,620"
2018-04-05,,"0,620","0,610","0,610"
2018-04-06,,"0,610","0,600","0,610"
2018-04-07,,,,
2018-04-08,,,,
2018-04-09,,,,
2018-04-10,,"0,610","0,610","0,620"
2018-04-11,,"0,620","0,610","0,620"
2018-04-12,,"0,620","0,620","0,640"
2018-04-13,,"0,640","0,650","0,670"
2018-04-14,,,,
2018-04-15,,,,
2018-04-16,,"0,670",,
2018-04-17,,"0,700","0,730","0,670"
2018-04-18,,"0,670","0,690","0,710"
2018-04-19,,"0,710","0,720","0,740"
2018-04-20,,"0,750","0,780","0,780"
2018-04-21,,,,
2018-04-22,,,,
2018-04-23,,"0,790",,
2018-04-24,,"0,820","0,840","0,860"
2018-04-25,,"0,860",,
2018-04-26,,"0,890","0,930","0,940"
2018-04-27,,"0,940","0,980","0,990"
2018-04-28,,,,
