,SOTETEL,ref,ouverture,cloture
2018-01-01,,,,
2018-01-02,,,,
2018-01-03,,"2,810","2,820","2,820"
2018-01-04,,"2,820","2,890","2,880"
2018-01-05,,"2,880","2,870","2,880"
2018-01-06,,,,
2018-01-07,,,,
2018-01-08,,"2,880",,
2018-01-09,,"2,880","2,880","2,800"
2018-01-10,,"2,800","2,880","2,800"
2018-01-11,,"2,800","2,790","2,840"
2018-01-12,,,,
2018-01-13,,,,
2018-01-14,,,,
2018-01-15,,"2,840",,
2018-01-16,,,,
2018-01-17,,,,
2018-01-18,,,,
2018-01-19,,,,
2018-01-20,,,,
2018-01-21,,,,
2018-01-22,,,,
2018-01-23,,,,
2018-01-24,,,,
2018-01-25,,,,
2018-01-26,,"2,800","2,800","2,880"
2018-01-27,,,,
2018-01-28,,,,
2018-01-29,,,,
2018-01-30,,,,
2018-01-31,,,,
2018-02-01,,,,
2018-02-02,,,,
2018-02-03,,,,
2018-02-04,,,,
2018-02-05,,,,
2018-02-06,,,,
2018-02-07,,,,
2018-02-08,,,,
2018-02-09,,,,
2018-02-10,,,,
2018-02-11,,,,
2018-02-12,,,,
2018-02-13,,,,
2018-02-14,,,,
2018-02-15,,,,
2018-02-16,,,,
2018-02-17,,,,
2018-02-18,,,,
2018-02-19,,,,
2018-02-20,,"2,830","2,800","2,830"
2018-02-21,,"2,830","2,750","2,790"
2018-02-22,,,,
2018-02-23,,,,
2018-02-24,,,,
2018-02-25,,,,
2018-02-26,,,,
2018-02-27,,,,
2018-02-28,,,,
2018-03-01,,,,
2018-03-02,,,,
2018-03-03,,,,
2018-03-04,,,,
2018-03-05,,,,
2018-03-06,,,,
2018-03-07,,"2,780","2,840","2,850"
2018-03-08,,"2,850","2,900","2,890"
2018-03-09,,"2,890","2,770","2,800"
2018-03-10,,,,
2018-03-11,,,,
2018-03-12,,"2,800","2,850","2,840"
2018-03-13,,"2,840","2,910","2,860"
2018-03-14,,"2,860","2,790","2,790"
2018-03-15,,"2,790","2,740","2,790"
2018-03-16,,"2,790","2,790","2,850"
2018-03-17,,,,
2018-03-18,,,,
2018-03-19,,"2,850","2,780","2,780"
2018-03-20,,,,
2018-03-21,,"2,780","2,730","2,790"
2018-03-22,,"2,790","2,730","2,720"
2018-03-23,,"2,720","2,790","2,790"
2018-03-24,,,,
2018-03-25,,,,
2018-03-26,,"2,790","2,740","2,750"
2018-03-27,,"2,750","2,790","2,740"
2018-03-28,,"2,740","2,790","2,780"
2018-03-29,,"2,780","2,730","2,760"
2018-03-30,,"2,760","2,710","2,760"
2018-03-31,,,,
2018-04-01,,,,
2018-04-02,,"2,760","2,690","2,700"
2018-04-03,,"2,700","2,680","2,630"
2018-04-04,,"2,630","2,630","2,740"
2018-04-05,,"2,740","2,660","2,700"
2018-04-06,,"2,700","2,650","2,660"
2018-04-07,,,,
2018-04-08,,,,
2018-04-09,,,,
2018-04-10,,"2,660","2,650","2,610"
2018-04-11,,"2,610","2,650","2,650"
2018-04-12,,"2,650","2,600","2,600"
2018-04-13,,"2,600","2,650","2,650"
2018-04-14,,,,
2018-04-15,,,,
2018-04-16,,"2,650","2,650","2,720"
2018-04-17,,"2,720","2,720","2,790"
2018-04-18,,"2,790","2,840","2,750"
2018-04-19,,"2,750","2,830","2,800"
2018-04-20,,"2,800","2,720","2,750"
2018-04-21,,,,
2018-04-22,,,,
2018-04-23,,"2,750","2,790","2,710"
2018-04-24,,"2,710","2,690","2,730"
2018-04-25,,"2,730","2,660","2,730"
2018-04-26,,"2,730","2,670","2,610"
2018-04-27,,"2,610","2,600","2,560"
