,SOTIPAPIER,ref,ouverture,cloture
2018-01-01,,,,
2018-01-02,,,,
2018-01-03,,"3,520","3,420","3,500"
2018-01-04,,"3,500","3,500","3,490"
2018-01-05,,"3,490","3,400","3,400"
2018-01-06,,,,
2018-01-07,,,,
2018-01-08,,"3,400","3,400","3,390"
2018-01-09,,"3,390","3,380","3,370"
2018-01-10,,"3,370","3,350","3,300"
2018-01-11,,"3,300","3,300","3,320"
2018-01-12,,,,
2018-01-13,,,,
2018-01-14,,,,
2018-01-15,,"3,250","3,270","3,250"
2018-01-16,,,,
2018-01-17,,,,
2018-01-18,,,,
2018-01-19,,,,
2018-01-20,,,,
2018-01-21,,,,
2018-01-22,,,,
2018-01-23,,,,
2018-01-24,,,,
2018-01-25,,,,
2018-01-26,,"3,220","3,190","3,210"
2018-01-27,,,,
2018-01-28,,,,
2018-01-29,,,,
2018-01-30,,,,
2018-01-31,,,,
2018-02-01,,,,
2018-02-02,,,,
2018-02-03,,,,
2018-02-04,,,,
2018-02-05,,,,
2018-02-06,,,,
2018-02-07,,,,
2018-02-08,,,,
2018-02-09,,,,
2018-02-10,,,,
2018-02-11,,,,
2018-02-12,,,,
2018-02-13,,,,
2018-02-14,,,,
2018-02-15,,,,
2018-02-16,,,,
2018-02-17,,,,
2018-02-18,,,,
2018-02-19,,,,
2018-02-20,,"3,190","3,190","3,180"
2018-02-21,,"3,180","3,170","3,270"
2018-02-22,,,,
2018-02-23,,,,
2018-02-24,,,,
2018-02-25,,,,
2018-02-26,,,,
2018-02-27,,,,
2018-02-28,,,,
2018-03-01,,,,
2018-03-02,,,,
2018-03-03,,,,
2018-03-04,,,,
2018-03-05,,,,
2018-03-06,,,,
2018-03-07,,"3,550","3,470","3,550"
2018-03-08,,"3,550","3,550","3,600"
2018-03-09,,"3,600","3,500","3,580"
2018-03-10,,,,
2018-03-11,,,,
2018-03-12,,"3,580","3,570","3,500"
2018-03-13,,"3,500","3,470","3,470"
2018-03-14,,"3,470","3,450","3,500"
2018-03-15,,"3,500","3,500","3,580"
2018-03-16,,"3,580","3,580","3,500"
2018-03-17,,,,
2018-03-18,,,,
2018-03-19,,"3,500","3,460","3,460"
2018-03-20,,,,
2018-03-21,,"3,460","3,450","3,540"
2018-03-22,,"3,540",,
2018-03-23,,"3,540","3,450","3,450"
2018-03-24,,,,
2018-03-25,,,,
2018-03-26,,"3,450","3,450","3,450"
2018-03-27,,"3,450","3,400","3,490"
2018-03-28,,"3,490","3,490","3,540"
2018-03-29,,"3,540","3,530","3,530"
2018-03-30,,"3,530","3,490","3,500"
2018-03-31,,,,
2018-04-01,,,,
2018-04-02,,"3,500",,
2018-04-03,,"3,500","3,500","3,500"
2018-04-04,,"3,500","3,480","3,500"
2018-04-05,,"3,500","3,450","3,600"
2018-04-06,,"3,600","3,690","3,690"
2018-04-07,,,,
2018-04-08,,,,
2018-04-09,,,,
2018-04-10,,"3,690","3,580","3,580"
2018-04-11,,"3,580","3,580","3,660"
2018-04-12,,"3,660","3,560","3,660"
2018-04-13,,"3,660","3,500","3,640"
2018-04-14,,,,
2018-04-15,,,,
2018-04-16,,"3,640","3,540","3,620"
2018-04-17,,"3,620","3,600","3,630"
2018-04-18,,"3,630","3,620","3,630"
2018-04-19,,"3,630","3,600","3,630"
2018-04-20,,"3,630","3,620","3,640"
2018-04-21,,,,
2018-04-22,,,,
2018-04-23,,"3,640","3,630","3,640"
2018-04-24,,"3,640","3,540","3,700"
2018-04-25,,"3,700","3,600","3,700"
2018-04-26,,"3,700","3,600","3,670"
