,SOTRAPIL,ref,ouverture,cloture
2018-01-01,,,,
2018-01-02,,,,
2018-01-03,,"10,700","10,700","10,710"
2018-01-04,,"10,710","10,890","10,900"
2018-01-05,,"10,900","11,000","10,990"
2018-01-06,,,,
2018-01-07,,,,
2018-01-08,,"10,990","10,990","10,990"
2018-01-09,,"10,990","10,900","10,990"
2018-01-10,,"10,990","10,990","10,990"
2018-01-11,,"10,990","10,780","10,900"
2018-01-12,,,,
2018-01-13,,,,
2018-01-14,,,,
2018-01-15,,"10,900","10,950","10,950"
2018-01-16,,,,
2018-01-17,,,,
2018-01-18,,,,
2018-01-19,,,,
2018-01-20,,,,
2018-01-21,,,,
2018-01-22,,,,
2018-01-23,,,,
2018-01-24,,,,
2018-01-25,,,,
2018-01-26,,"12,900","12,980","12,850"
2018-01-27,,,,
2018-01-28,,,,
2018-01-29,,,,
2018-01-30,,,,
2018-01-31,,,,
2018-02-01,,,,
2018-02-02,,,,
2018-02-03,,,,
2018-02-04,,,,
2018-02-05,,,,
2018-02-06,,,,
2018-02-07,,,,
2018-02-08,,,,
2018-02-09,,,,
2018-02-10,,,,
2018-02-11,,,,
2018-02-12,,,,
2018-02-13,,,,
2018-02-14,,,,
2018-02-15,,,,
2018-02-16,,,,
2018-02-17,,,,
2018-02-18,,,,
2018-02-19,,,,
2018-02-20,,"12,600","12,700","12,650"
2018-02-21,,"12,650","12,700","12,600"
2018-02-22,,,,
2018-02-23,,,,
2018-02-24,,,,
2018-02-25,,,,
2018-02-26,,,,
2018-02-27,,,,
2018-02-28,,,,
2018-03-01,,,,
2018-03-02,,,,
2018-03-03,,,,
2018-03-04,,,,
2018-03-05,,,,
2018-03-06,,,,
2018-03-07,,"12,710","12,900","12,710"
2018-03-08,,"12,710","12,700","12,900"
2018-03-09,,"12,900","12,890","13,000"
2018-03-10,,,,
2018-03-11,,,,
2018-03-12,,"13,000","12,800","12,800"
2018-03-13,,"12,800","13,000","13,000"
2018-03-14,,"13,000","13,000","13,000"
2018-03-15,,"13,000","13,000","13,000"
2018-03-16,,"13,000","13,000","13,380"
2018-03-17,,,,
2018-03-18,,,,
2018-03-19,,"13,380","13,380","13,950"
2018-03-20,,,,
2018-03-21,,"13,950","14,000","14,330"
2018-03-22,,"14,330","13,930","14,300"
2018-03-23,,"14,300","14,300","13,990"
2018-03-24,,,,
2018-03-25,,,,
2018-03-26,,"13,990","13,990","14,300"
2018-03-27,,"14,300","14,300","14,300"
2018-03-28,,"14,300","14,280","14,300"
2018-03-29,,"14,300","14,490","14,490"
2018-03-30,,"14,490","14,300","14,070"
2018-03-31,,,,
2018-04-01,,,,
2018-04-02,,"14,070","14,250","14,300"
2018-04-03,,"14,300","14,300","14,300"
2018-04-04,,"14,300","14,490","14,470"
2018-04-05,,"14,470","14,300","14,400"
2018-04-06,,"14,400","14,390","14,390"
2018-04-07,,,,
2018-04-08,,,,
2018-04-09,,,,
2018-04-10,,"14,390","14,390","14,390"
2018-04-11,,"14,390",,
2018-04-12,,"14,390","14,200","14,390"
2018-04-13,,"14,390","14,400","14,500"
2018-04-14,,,,
2018-04-15,,,,
2018-04-16,,"14,500","14,500","14,100"
2018-04-17,,"14,100","14,120","14,120"
2018-04-18,,"14,120","14,400","14,470"
2018-04-19,,"14,470","14,470","14,900"
2018-04-20,,"14,900","14,920","15,400"
2018-04-21,,,,
2018-04-22,,,,
2018-04-23,,"15,400","15,410","15,400"
2018-04-24,,"15,400","15,270","15,340"
2018-04-25,,"15,340","15,340","15,000"
2018-04-26,,"15,000","15,300","14,850"
