,STB,ref,ouverture,cloture
2018-01-01,,,,
2018-01-02,,,,
2018-01-03,,"3,690","3,690","3,720"
2018-01-04,,"3,720","3,700","3,700"
2018-01-05,,"3,700","3,700","3,620"
2018-01-06,,,,
2018-01-07,,,,
2018-01-08,,"3,620","3,620","3,630"
2018-01-09,,"3,630","3,700","3,630"
2018-01-10,,"3,630","3,630","3,630"
2018-01-11,,"3,630","3,680","3,640"
2018-01-12,,,,
2018-01-13,,,,
2018-01-14,,,,
2018-01-15,,"3,680","3,600","3,650"
2018-01-16,,,,
2018-01-17,,,,
2018-01-18,,,,
2018-01-19,,,,
2018-01-20,,,,
2018-01-21,,,,
2018-01-22,,,,
2018-01-23,,,,
2018-01-24,,,,
2018-01-25,,,,
2018-01-26,,"3,590","3,610","3,640"
2018-01-27,,,,
2018-01-28,,,,
2018-01-29,,,,
2018-01-30,,,,
2018-01-31,,,,
2018-02-01,,,,
2018-02-02,,,,
2018-02-03,,,,
2018-02-04,,,,
2018-02-05,,,,
2018-02-06,,,,
2018-02-07,,,,
2018-02-08,,,,
2018-02-09,,,,
2018-02-10,,,,
2018-02-11,,,,
2018-02-12,,,,
2018-02-13,,,,
2018-02-14,,,,
2018-02-15,,,,
2018-02-16,,,,
2018-02-17,,,,
2018-02-18,,,,
2018-02-19,,,,
2018-02-20,,"3,850","3,860","3,860"
2018-02-21,,"3,860","3,800","3,900"
2018-02-22,,,,
2018-02-23,,,,
2018-02-24,,,,
2018-02-25,,,,
2018-02-26,,,,
2018-02-27,,,,
2018-02-28,,,,
2018-03-01,,,,
2018-03-02,,,,
2018-03-03,,,,
2018-03-04,,,,
2018-03-05,,,,
2018-03-06,,,,
2018-03-07,,"3,690","3,690","3,780"
2018-03-08,,"3,780","3,780","3,880"
2018-03-09,,"3,880","3,850","3,820"
2018-03-10,,,,
2018-03-11,,,,
2018-03-12,,"3,820","3,850","3,800"
2018-03-13,,"3,800","3,830","3,910"
2018-03-14,,"3,910","3,910","3,900"
2018-03-15,,"3,900","3,910","3,900"
2018-03-16,,"3,900","3,840","3,870"
2018-03-17,,,,
2018-03-18,,,,
2018-03-19,,"3,870","3,780","3,900"
2018-03-20,,,,
2018-03-21,,"3,900","3,800","3,880"
2018-03-22,,"3,880","3,800","3,890"
2018-03-23,,"3,890","3,880","3,850"
2018-03-24,,,,
2018-03-25,,,,
2018-03-26,,"3,850","3,900","3,930"
2018-03-27,,"3,930","3,930","3,950"
2018-03-28,,"3,950","3,980","3,990"
2018-03-29,,"3,990","3,900","3,970"
2018-03-30,,"3,970","3,980","3,990"
2018-03-31,,,,
2018-04-01,,,,
2018-04-02,,"3,990","3,990","3,930"
2018-04-03,,"3,930","3,930","3,900"
2018-04-04,,"3,900","3,940","3,900"
2018-04-05,,"3,900","3,900","4,000"
2018-04-06,,"4,000","4,020","4,130"
2018-04-07,,,,
2018-04-08,,,,
2018-04-09,,,,
2018-04-10,,"4,130","4,160","4,100"
2018-04-11,,"4,100","4,150","4,050"
2018-04-12,,"4,050","4,000","3,970"
2018-04-13,,"3,970","3,970","3,970"
2018-04-14,,,,
2018-04-15,,,,
2018-04-16,,"3,970","3,990","3,940"
2018-04-17,,"3,940","3,880","3,940"
2018-04-18,,"3,940","3,990","4,170"
2018-04-19,,"4,170","4,220","4,400"
2018-04-20,,"4,420","4,420","4,450"
2018-04-21,,,,
2018-04-22,,,,
2018-04-23,,"4,450","4,650","4,530"
2018-04-24,,"4,530","4,530","4,300"
2018-04-25,,"4,300","4,300","4,200"
2018-04-26,,"4,200","4,200","4,200"
