,SIMPAR,ref,ouverture,cloture
2018-01-01,,,,
2018-01-02,,,,
2018-01-03,,"42,800","43,000","43,990"
2018-01-04,,"43,990","43,700","43,500"
2018-01-05,,"43,500","44,000","43,000"
2018-01-06,,,,
2018-01-07,,,,
2018-01-08,,"43,000","42,100","44,000"
2018-01-09,,"44,000","44,200","43,900"
2018-01-10,,"43,900",,
2018-01-11,,"43,900",,
2018-01-12,,,,
2018-01-13,,,,
2018-01-14,,,,
2018-01-15,,"43,900","43,490","44,500"
2018-01-16,,,,
2018-01-17,,,,
2018-01-18,,,,
2018-01-19,,,,
2018-01-20,,,,
2018-01-21,,,,
2018-01-22,,,,
2018-01-23,,,,
2018-01-24,,,,
2018-01-25,,,,
2018-01-26,,"43,300","43,800","43,650"
2018-01-27,,,,
2018-01-28,,,,
2018-01-29,,,,
2018-01-30,,,,
2018-01-31,,,,
2018-02-01,,,,
2018-02-02,,,,
2018-02-03,,,,
2018-02-04,,,,
2018-02-05,,,,
2018-02-06,,,,
2018-02-07,,,,
2018-02-08,,,,
2018-02-09,,,,
2018-02-10,,,,
2018-02-11,,,,
2018-02-12,,,,
2018-02-13,,,,
2018-02-14,,,,
2018-02-15,,,,
2018-02-16,,,,
2018-02-17,,,,
2018-02-18,,,,
2018-02-19,,,,
2018-02-20,,"39,490",,
2018-02-21,,"39,490","38,310","38,310"
2018-02-22,,,,
2018-02-23,,,,
2018-02-24,,,,
2018-02-25,,,,
2018-02-26,,,,
2018-02-27,,,,
2018-02-28,,,,
2018-03-01,,,,
2018-03-02,,,,
2018-03-03,,,,
2018-03-04,,,,
2018-03-05,,,,
2018-03-06,,,,
2018-03-07,,"39,000",,
2018-03-08,,"39,000",,
2018-03-09,,"39,000",,
2018-03-10,,,,
2018-03-11,,,,
2018-03-12,,"39,000","37,100","38,800"
2018-03-13,,"38,800","38,750","38,750"
2018-03-14,,"38,750","38,750","37,590"
2018-03-15,,"37,590","37,590","38,710"
2018-03-16,,"38,710","38,700","38,700"
2018-03-17,,,,
2018-03-18,,,,
2018-03-19,,"38,700",,
2018-03-20,,,,
2018-03-21,,"38,700",,
2018-03-22,,"38,700","37,540","38,700"
2018-03-23,,"38,700",,
2018-03-24,,,,
2018-03-25,,,,
2018-03-26,,"38,700","37,540","37,540"
2018-03-27,,"37,540","38,490","38,480"
2018-03-28,,"38,480","38,000","38,430"
2018-03-29,,"38,430","38,430","38,430"
2018-03-30,,"38,430",,
2018-03-31,,,,
2018-04-01,,,,
2018-04-02,,"38,430",,
2018-04-03,,"38,430",,
2018-04-04,,"38,430","37,400","38,000"
2018-04-05,,"38,000",,
2018-04-06,,"38,000",,
2018-04-07,,,,
2018-04-08,,,,
2018-04-09,,,,
2018-04-10,,"38,000","37,110","37,100"
2018-04-11,,"37,100","38,000","38,000"
2018-04-12,,"38,000",,
2018-04-13,,"38,000",,
2018-04-14,,,,
2018-04-15,,,,
2018-04-16,,"38,000","36,860","36,860"
2018-04-17,,"36,860","36,100","36,850"
2018-04-18,,"36,850","36,850","36,850"
2018-04-19,,"36,850",,
2018-04-20,,"36,850",,
2018-04-21,,,,
2018-04-22,,,,
2018-04-23,,"36,850","35,750","35,750"
2018-04-24,,"35,750",,
2018-04-25,,"35,750","34,980","34,750"
2018-04-26,,"34,750","33,750","33,710"
2018-04-27,,"33,710","32,750","33,710"
2018-04-28,,,,
2018-04-29,,,,
2018-04-30,,"33,710",,
2018-05-01,,,,
2018-05-02,,"33,710","34,710","34,710"
2018-05-03,,"34,710","34,710","34,710"
2018-05-04,,"34,710",,
2018-05-05,,,,
