,TELNET,ref,ouverture,cloture
2018-01-01,,,,
2018-01-02,,,,
2018-01-03,,"5,860","5,860","5,940"
2018-01-04,,"5,940","5,940","6,100"
2018-01-05,,"6,100","6,110","6,180"
2018-01-06,,,,
2018-01-07,,,,
2018-01-08,,"6,180","6,200","6,240"
2018-01-09,,"6,240","6,200","6,160"
2018-01-10,,"6,160","6,180","6,100"
2018-01-11,,"6,100","6,140","6,200"
2018-01-12,,,,
2018-01-13,,,,
2018-01-14,,,,
2018-01-15,,"6,390","6,410","6,390"
2018-01-16,,,,
2018-01-17,,,,
2018-01-18,,,,
2018-01-19,,,,
2018-01-20,,,,
2018-01-21,,,,
2018-01-22,,,,
2018-01-23,,,,
2018-01-24,,,,
2018-01-25,,,,
2018-01-26,,"7,100","7,110","7,090"
2018-01-27,,,,
2018-01-28,,,,
2018-01-29,,,,
2018-01-30,,,,
2018-01-31,,,,
2018-02-01,,,,
2018-02-02,,,,
2018-02-03,,,,
2018-02-04,,,,
2018-02-05,,,,
2018-02-06,,,,
2018-02-07,,,,
2018-02-08,,,,
2018-02-09,,,,
2018-02-10,,,,
2018-02-11,,,,
2018-02-12,,,,
2018-02-13,,,,
2018-02-14,,,,
2018-02-15,,,,
2018-02-16,,,,
2018-02-17,,,,
2018-02-18,,,,
2018-02-19,,,,
2018-02-20,,"7,700","7,700","7,750"
2018-02-21,,"7,750","7,750","7,860"
2018-02-22,,,,
2018-02-23,,,,
2018-02-24,,,,
2018-02-25,,,,
2018-02-26,,,,
2018-02-27,,,,
2018-02-28,,,,
2018-03-01,,,,
2018-03-02,,,,
2018-03-03,,,,
2018-03-04,,,,
2018-03-05,,,,
2018-03-06,,,,
2018-03-07,,"8,190","8,200","8,300"
2018-03-08,,"8,300","8,300","8,290"
2018-03-09,,"8,290","8,300","8,400"
2018-03-10,,,,
2018-03-11,,,,
2018-03-12,,"8,400","8,400","8,360"
2018-03-13,,"8,360","8,350","8,210"
2018-03-14,,"8,210","8,250","8,220"
2018-03-15,,"8,220","8,220","8,230"
2018-03-16,,"8,230","8,250","8,250"
2018-03-17,,,,
2018-03-18,,,,
2018-03-19,,"8,250","8,230","8,300"
2018-03-20,,,,
2018-03-21,,"8,300","8,290","8,300"
2018-03-22,,"8,300","8,230","8,500"
2018-03-23,,"8,500","8,880","8,800"
2018-03-24,,,,
2018-03-25,,,,
2018-03-26,,"8,800","8,800","9,020"
2018-03-27,,"9,020","9,100","8,880"
2018-03-28,,"8,880","8,940","8,830"
2018-03-29,,"8,830","8,830","8,700"
2018-03-30,,"8,700","8,700","8,780"
2018-03-31,,,,
2018-04-01,,,,
2018-04-02,,"8,780","8,800","8,700"
2018-04-03,,"8,700","8,790","8,960"
2018-04-04,,"8,960","8,960","8,810"
2018-04-05,,"8,810","8,820","8,710"
2018-04-06,,"8,710","8,720","8,790"
2018-04-07,,,,
2018-04-08,,,,
2018-04-09,,,,
2018-04-10,,"8,790","8,790","8,540"
2018-04-11,,"8,540","8,500","8,430"
2018-04-12,,"8,430","8,400","8,590"
2018-04-13,,"8,590","8,590","8,920"
2018-04-14,,,,
2018-04-15,,,,
2018-04-16,,"8,920","8,920","8,730"
2018-04-17,,"8,730","8,730","8,800"
2018-04-18,,"8,800","8,800","8,970"
2018-04-19,,"8,970","9,000","9,000"
2018-04-20,,"9,000","8,940","8,950"
2018-04-21,,,,
2018-04-22,,,,
2018-04-23,,"8,950","9,000","8,950"
2018-04-24,,"8,950","8,900","8,920"
2018-04-25,,"8,920","8,900","9,090"
2018-04-26,,"9,090","9,150","9,500"
