,TIL,ref,ouverture,cloture
2018-01-01,,,,
2018-01-02,,,,
2018-01-03,,"17,880","17,710","17,710"
2018-01-04,,"17,710","17,890","17,760"
2018-01-05,,"17,760","17,800","17,800"
2018-01-06,,,,
2018-01-07,,,,
2018-01-08,,"17,800","17,790","17,780"
2018-01-09,,"17,780","17,840","17,750"
2018-01-10,,"17,750","17,750","17,800"
2018-01-11,,"17,800","17,760","18,200"
2018-01-12,,,,
2018-01-13,,,,
2018-01-14,,,,
2018-01-15,,"17,810","17,810","17,810"
2018-01-16,,,,
2018-01-17,,,,
2018-01-18,,,,
2018-01-19,,,,
2018-01-20,,,,
2018-01-21,,,,
2018-01-22,,,,
2018-01-23,,,,
2018-01-24,,,,
2018-01-25,,,,
2018-01-26,,"18,140","17,940","17,940"
2018-01-27,,,,
2018-01-28,,,,
2018-01-29,,,,
2018-01-30,,,,
2018-01-31,,,,
2018-02-01,,,,
2018-02-02,,,,
2018-02-03,,,,
2018-02-04,,,,
2018-02-05,,,,
2018-02-06,,,,
2018-02-07,,,,
2018-02-08,,,,
2018-02-09,,,,
2018-02-10,,,,
2018-02-11,,,,
2018-02-12,,,,
2018-02-13,,,,
2018-02-14,,,,
2018-02-15,,,,
2018-02-16,,,,
2018-02-17,,,,
2018-02-18,,,,
2018-02-19,,,,
2018-02-20,,"17,990","17,950","17,990"
2018-02-21,,"17,990","17,850","17,990"
2018-02-22,,,,
2018-02-23,,,,
2018-02-24,,,,
2018-02-25,,,,
2018-02-26,,,,
2018-02-27,,,,
2018-02-28,,,,
2018-03-01,,,,
2018-03-02,,,,
2018-03-03,,,,
2018-03-04,,,,
2018-03-05,,,,
2018-03-06,,,,
2018-03-07,,"17,600","17,990","17,990"
2018-03-08,,"17,990","17,900","18,000"
2018-03-09,,"18,000","18,000","18,000"
2018-03-10,,,,
2018-03-11,,,,
2018-03-12,,"18,000","17,990","18,170"
2018-03-13,,"18,170","18,170","18,170"
2018-03-14,,"18,170","18,000","18,000"
2018-03-15,,"18,000","18,000","18,000"
2018-03-16,,"18,000","17,980","17,980"
2018-03-17,,,,
2018-03-18,,,,
2018-03-19,,"17,980","17,980","18,000"
2018-03-20,,,,
2018-03-21,,"18,000","18,000","18,000"
2018-03-22,,"18,000","17,810","18,000"
2018-03-23,,"18,000",,
2018-03-24,,,,
2018-03-25,,,,
2018-03-26,,"18,000","18,000","18,010"
2018-03-27,,"18,010","18,000","18,010"
2018-03-28,,"18,010","18,100","18,160"
2018-03-29,,"18,160","18,290","18,290"
2018-03-30,,"18,290","18,290","18,290"
2018-03-31,,,,
2018-04-01,,,,
2018-04-02,,"18,290","18,290","18,290"
2018-04-03,,"18,290","18,320","18,680"
2018-04-04,,"18,680","18,300","18,210"
2018-04-05,,"18,210","18,120","18,490"
2018-04-06,,"18,750","19,190","19,090"
2018-04-07,,,,
2018-04-08,,,,
2018-04-09,,,,
2018-04-10,,"19,090",,
2018-04-11,,"19,090","18,500","18,500"
2018-04-12,,"18,500",,
2018-04-13,,"18,500","18,520","18,520"
2018-04-14,,,,
2018-04-15,,,,
2018-04-16,,"18,520","18,410","18,520"
2018-04-17,,"18,520","18,460","18,520"
2018-04-18,,"18,520","18,750","18,600"
2018-04-19,,"18,600","18,600","18,600"
2018-04-20,,"18,600","18,600","18,600"
2018-04-21,,,,
2018-04-22,,,,
2018-04-23,,"18,600","18,750","18,800"
2018-04-24,,"18,800","18,820","18,820"
2018-04-25,,"18,820","18,750","18,620"
2018-04-26,,"18,620","18,590","18,710"
2018-04-27,,"18,710","18,800","18,800"
2018-04-28,,,,
