,TUNIS RE,ref,ouverture,cloture
2018-01-01,,,,
2018-01-02,,,,
2018-01-03,,"8,400","8,400","8,250"
2018-01-04,,"8,250","8,340","8,500"
2018-01-05,,"8,500","8,480","8,390"
2018-01-06,,,,
2018-01-07,,,,
2018-01-08,,"8,390","8,250","8,210"
2018-01-09,,"8,210","8,200","8,020"
2018-01-10,,"8,020","8,000","7,980"
2018-01-11,,"7,980","7,950","7,980"
2018-01-12,,,,
2018-01-13,,,,
2018-01-14,,,,
2018-01-15,,"8,050","8,100","8,100"
2018-01-16,,,,
2018-01-17,,,,
2018-01-18,,,,
2018-01-19,,,,
2018-01-20,,,,
2018-01-21,,,,
2018-01-22,,,,
2018-01-23,,,,
2018-01-24,,,,
2018-01-25,,,,
2018-01-26,,"8,460","8,400","8,460"
2018-01-27,,,,
2018-01-28,,,,
2018-01-29,,,,
2018-01-30,,,,
2018-01-31,,,,
2018-02-01,,,,
2018-02-02,,,,
2018-02-03,,,,
2018-02-04,,,,
2018-02-05,,,,
2018-02-06,,,,
2018-02-07,,,,
2018-02-08,,,,
2018-02-09,,,,
2018-02-10,,,,
2018-02-11,,,,
2018-02-12,,,,
2018-02-13,,,,
2018-02-14,,,,
2018-02-15,,,,
2018-02-16,,,,
2018-02-17,,,,
2018-02-18,,,,
2018-02-19,,,,
2018-02-20,,"8,280","8,280","8,280"
2018-02-21,,"8,280","8,280","8,280"
2018-02-22,,,,
2018-02-23,,,,
2018-02-24,,,,
2018-02-25,,,,
2018-02-26,,,,
2018-02-27,,,,
2018-02-28,,,,
2018-03-01,,,,
2018-03-02,,,,
2018-03-03,,,,
2018-03-04,,,,
2018-03-05,,,,
2018-03-06,,,,
2018-03-07,,"8,300","8,300","8,300"
2018-03-08,,"8,300","8,300","8,300"
2018-03-09,,"8,300","8,300","8,300"
2018-03-10,,,,
2018-03-11,,,,
2018-03-12,,"8,300","8,280","8,270"
2018-03-13,,"8,270","8,100","8,270"
2018-03-14,,"8,270","8,270","8,270"
2018-03-15,,"8,270","8,250","8,250"
2018-03-16,,"8,250","8,250","8,250"
2018-03-17,,,,
2018-03-18,,,,
2018-03-19,,"8,250","8,250","8,250"
2018-03-20,,,,
2018-03-21,,"8,250",,
2018-03-22,,"8,250","8,110","8,220"
2018-03-23,,"8,220","8,220","8,220"
2018-03-24,,,,
2018-03-25,,,,
2018-03-26,,"8,220","8,030","8,200"
2018-03-27,,"8,200","8,190","8,230"
2018-03-28,,"8,230","8,220","8,250"
2018-03-29,,"8,250","8,240","8,220"
2018-03-30,,"8,220","8,220","8,220"
2018-03-31,,,,
2018-04-01,,,,
2018-04-02,,"8,220","8,210","8,210"
2018-04-03,,"8,210","8,200","8,200"
2018-04-04,,"8,200","8,110","8,200"
2018-04-05,,"8,200","8,190","8,180"
2018-04-06,,"8,180","8,100","8,200"
2018-04-07,,,,
2018-04-08,,,,
2018-04-09,,,,
2018-04-10,,"8,200","8,100","8,190"
2018-04-11,,"8,190","8,190","8,180"
2018-04-12,,"8,180","8,020","8,180"
2018-04-13,,"8,180","8,200","8,190"
2018-04-14,,,,
2018-04-15,,,,
2018-04-16,,"8,190","8,190","8,200"
2018-04-17,,"8,200",,
2018-04-18,,"8,200","8,190","8,180"
2018-04-19,,"8,180","8,190","8,200"
2018-04-20,,"8,200","8,200","8,210"
2018-04-21,,,,
2018-04-22,,,,
2018-04-23,,"8,210","8,210","8,200"
2018-04-24,,"8,200","8,250","8,240"
2018-04-25,,"8,240","8,250","8,230"
2018-04-26,,"8,230","8,250","8,250"
2018-04-27,,"8,250","8,250","8,240"
