,UIB,ref,ouverture,cloture
2018-01-01,,,,
2018-01-02,,,,
2018-01-03,,"22,010","22,200","22,100"
2018-01-04,,"22,100","22,100","22,000"
2018-01-05,,"22,000","22,090","22,000"
2018-01-06,,,,
2018-01-07,,,,
2018-01-08,,"22,000","22,000","22,440"
2018-01-09,,"22,440","22,400","22,400"
2018-01-10,,"22,400","22,060","22,400"
2018-01-11,,"22,400","22,500","22,700"
2018-01-12,,,,
2018-01-13,,,,
2018-01-14,,,,
2018-01-15,,"23,000","23,000","22,900"
2018-01-16,,,,
2018-01-17,,,,
2018-01-18,,,,
2018-01-19,,,,
2018-01-20,,,,
2018-01-21,,,,
2018-01-22,,,,
2018-01-23,,,,
2018-01-24,,,,
2018-01-25,,,,
2018-01-26,,"23,400","23,400","23,400"
2018-01-27,,,,
2018-01-28,,,,
2018-01-29,,,,
2018-01-30,,,,
2018-01-31,,,,
2018-02-01,,,,
2018-02-02,,,,
2018-02-03,,,,
2018-02-04,,,,
2018-02-05,,,,
2018-02-06,,,,
2018-02-07,,,,
2018-02-08,,,,
2018-02-09,,,,
2018-02-10,,,,
2018-02-11,,,,
2018-02-12,,,,
2018-02-13,,,,
2018-02-14,,,,
2018-02-15,,,,
2018-02-16,,,,
2018-02-17,,,,
2018-02-18,,,,
2018-02-19,,,,
2018-02-20,,"24,900","24,900","24,900"
2018-02-21,,"24,900","24,860","24,970"
2018-02-22,,,,
2018-02-23,,,,
2018-02-24,,,,
2018-02-25,,,,
2018-02-26,,,,
2018-02-27,,,,
2018-02-28,,,,
2018-03-01,,,,
2018-03-02,,,,
2018-03-03,,,,
2018-03-04,,,,
2018-03-05,,,,
2018-03-06,,,,
2018-03-07,,"26,380","26,400","26,410"
2018-03-08,,"26,410","26,500","26,300"
2018-03-09,,"26,300","26,490","26,300"
2018-03-10,,,,
2018-03-11,,,,
2018-03-12,,"26,300","26,490","26,300"
2018-03-13,,"26,300","26,400","26,250"
2018-03-14,,"26,250","26,300","26,210"
2018-03-15,,"26,210","26,340","26,260"
2018-03-16,,"26,260","26,280","26,430"
2018-03-17,,,,
2018-03-18,,,,
2018-03-19,,"26,430","26,430","26,400"
2018-03-20,,,,
2018-03-21,,"26,400","26,350","26,390"
2018-03-22,,"26,390","26,380","26,400"
2018-03-23,,"26,400","26,390","26,300"
2018-03-24,,,,
2018-03-25,,,,
2018-03-26,,"26,300","26,400","26,290"
2018-03-27,,"26,290","26,390","26,300"
2018-03-28,,"26,300","26,290","26,250"
2018-03-29,,"26,250","26,250","25,950"
2018-03-30,,"25,950","25,990","26,220"
2018-03-31,,,,
2018-04-01,,,,
2018-04-02,,"26,220","26,150","26,200"
2018-04-03,,"26,200","26,220","26,500"
2018-04-04,,"26,500","26,700","26,500"
2018-04-05,,"26,500","26,690","26,660"
2018-04-06,,"26,660","26,660","26,310"
2018-04-07,,,,
2018-04-08,,,,
2018-04-09,,,,
2018-04-10,,"26,310","26,600","25,830"
2018-04-11,,"25,830","26,130","25,900"
2018-04-12,,"25,900","25,890","26,000"
2018-04-13,,"26,000","25,750","26,750"
2018-04-14,,,,
2018-04-15,,,,
2018-04-16,,"26,750","26,750","26,950"
2018-04-17,,"26,950","27,400","26,700"
2018-04-18,,"26,700","26,950","26,600"
2018-04-19,,"26,600","26,700","26,580"
2018-04-20,,"26,580","26,890","26,590"
2018-04-21,,,,
2018-04-22,,,,
2018-04-23,,"26,590","26,700","26,500"
2018-04-24,,"26,500","26,400","26,220"
2018-04-25,,"26,220","26,490","26,490"
2018-04-26,,"26,490","26,470","26,000"
