,WIFAK,ref,ouverture,cloture
2018-01-01,,,,
2018-01-02,,,,
2018-01-03,,"7,430","7,410","7,410"
2018-01-04,,"7,410","7,200","7,190"
2018-01-05,,"7,190","6,870","7,180"
2018-01-06,,,,
2018-01-07,,,,
2018-01-08,,"7,180","7,390","7,390"
2018-01-09,,"7,390","7,340","7,320"
2018-01-10,,"7,320","7,290","7,290"
2018-01-11,,"7,290","7,250","7,250"
2018-01-12,,,,
2018-01-13,,,,
2018-01-14,,,,
2018-01-15,,"7,190","7,170","7,150"
2018-01-16,,,,
2018-01-17,,,,
2018-01-18,,,,
2018-01-19,,,,
2018-01-20,,,,
2018-01-21,,,,
2018-01-22,,,,
2018-01-23,,,,
2018-01-24,,,,
2018-01-25,,,,
2018-01-26,,"7,070","7,050","7,050"
2018-01-27,,,,
2018-01-28,,,,
2018-01-29,,,,
2018-01-30,,,,
2018-01-31,,,,
2018-02-01,,,,
2018-02-02,,,,
2018-02-03,,,,
2018-02-04,,,,
2018-02-05,,,,
2018-02-06,,,,
2018-02-07,,,,
2018-02-08,,,,
2018-02-09,,,,
2018-02-10,,,,
2018-02-11,,,,
2018-02-12,,,,
2018-02-13,,,,
2018-02-14,,,,
2018-02-15,,,,
2018-02-16,,,,
2018-02-17,,,,
2018-02-18,,,,
2018-02-19,,,,
2018-02-20,,"6,680","6,680","6,680"
2018-02-21,,"6,680","6,670","6,680"
2018-02-22,,,,
2018-02-23,,,,
2018-02-24,,,,
2018-02-25,,,,
2018-02-26,,,,
2018-02-27,,,,
2018-02-28,,,,
2018-03-01,,,,
2018-03-02,,,,
2018-03-03,,,,
2018-03-04,,,,
2018-03-05,,,,
2018-03-06,,,,
2018-03-07,,"6,840","6,830","6,840"
2018-03-08,,"6,840","6,790","6,800"
2018-03-09,,"6,800","6,790","6,800"
2018-03-10,,,,
2018-03-11,,,,
2018-03-12,,"6,800","6,790","6,790"
2018-03-13,,"6,790","6,790","6,780"
2018-03-14,,"6,780","6,790","6,780"
2018-03-15,,"6,780","6,770","6,780"
2018-03-16,,"6,780","6,770","6,780"
2018-03-17,,,,
2018-03-18,,,,
2018-03-19,,"6,780","6,780","6,780"
2018-03-20,,,,
2018-03-21,,"6,780","6,770","6,780"
2018-03-22,,"6,780","6,780","6,770"
2018-03-23,,"6,770","6,770","6,780"
2018-03-24,,,,
2018-03-25,,,,
2018-03-26,,"6,780","6,770","6,770"
2018-03-27,,"6,770","6,770","6,780"
2018-03-28,,"6,780","6,770","6,780"
2018-03-29,,"6,780","6,770","6,780"
2018-03-30,,"6,780","6,780","6,700"
2018-03-31,,,,
2018-04-01,,,,
2018-04-02,,"6,700","6,900","6,900"
2018-04-03,,"6,900","7,100","7,100"
2018-04-04,,"7,100","7,090","7,100"
2018-04-05,,"7,100","7,130","7,140"
2018-04-06,,"7,140","7,100","7,300"
2018-04-07,,,,
2018-04-08,,,,
2018-04-09,,,,
2018-04-10,,"7,300",,
2018-04-11,,"7,300","7,230","7,240"
2018-04-12,,"7,240","7,210","7,220"
2018-04-13,,"7,220","7,190","7,200"
2018-04-14,,,,
2018-04-15,,,,
2018-04-16,,"7,200","7,200","7,200"
2018-04-17,,"7,200","7,190","7,190"
2018-04-18,,"7,190","7,090","7,090"
2018-04-19,,"7,090","7,140","7,150"
2018-04-20,,"7,150","7,140","7,150"
2018-04-21,,,,
2018-04-22,,,,
2018-04-23,,"7,150","7,080","7,100"
2018-04-24,,"7,100","7,100","7,100"
2018-04-25,,"7,100","7,120","7,120"
2018-04-26,,"7,120","7,130","7,100"
