,amenBank,ref,ouverture,cloture
2018-01-01,,,,
2018-01-02,,,,
2018-01-03,,"24,000","23,990","23,990"
2018-01-04,,"23,990","23,990","23,900"
2018-01-05,,"23,900","23,980","23,980"
2018-01-06,,,,
2018-01-07,,,,
2018-01-08,,"23,980","23,990","23,980"
2018-01-09,,"23,980","23,970","23,970"
2018-01-10,,"23,970","23,970","23,950"
2018-01-11,,"23,950","23,900","23,800"
2018-01-12,,,,
2018-01-13,,,,
2018-01-14,,,,
2018-01-15,,"23,600","23,500","23,300"
2018-01-16,,,,
2018-01-17,,,,
2018-01-18,,,,
2018-01-19,,,,
2018-01-20,,,,
2018-01-21,,,,
2018-01-22,,,,
2018-01-23,,,,
2018-01-24,,,,
2018-01-25,,,,
2018-01-26,,"23,990","23,800","24,400"
2018-01-27,,,,
2018-01-28,,,,
2018-01-29,,,,
2018-01-30,,,,
2018-01-31,,,,
2018-02-01,,,,
2018-02-02,,,,
2018-02-03,,,,
2018-02-04,,,,
2018-02-05,,,,
2018-02-06,,,,
2018-02-07,,,,
2018-02-08,,,,
2018-02-09,,,,
2018-02-10,,,,
2018-02-11,,,,
2018-02-12,,,,
2018-02-13,,,,
2018-02-14,,,,
2018-02-15,,,,
2018-02-16,,,,
2018-02-17,,,,
2018-02-18,,,,
2018-02-19,,,,
2018-02-20,,"25,500","25,500","25,600"
2018-02-21,,"25,600","25,600","25,500"
2018-02-22,,,,
2018-02-23,,,,
2018-02-24,,,,
2018-02-25,,,,
2018-02-26,,,,
2018-02-27,,,,
2018-02-28,,,,
2018-03-01,,,,
2018-03-02,,,,
2018-03-03,,,,
2018-03-04,,,,
2018-03-05,,,,
2018-03-06,,,,
2018-03-07,,"25,900","25,890","25,890"
2018-03-08,,"25,890","25,880","25,800"
2018-03-09,,"25,800","25,850","25,880"
2018-03-10,,,,
2018-03-11,,,,
2018-03-12,,"25,880","25,870","26,180"
2018-03-13,,"26,180","26,100","26,490"
2018-03-14,,"26,490","26,490","26,700"
2018-03-15,,"26,700","26,690","27,200"
2018-03-16,,"27,200","27,200","27,200"
2018-03-17,,,,
2018-03-18,,,,
2018-03-19,,"27,200","27,200","27,500"
2018-03-20,,,,
2018-03-21,,"27,500","27,500","27,500"
2018-03-22,,"27,500","27,500","27,500"
2018-03-23,,"27,500","27,600","27,500"
2018-03-24,,,,
2018-03-25,,,,
2018-03-26,,"27,500","27,500","27,400"
2018-03-27,,"27,400","27,400","27,290"
2018-03-28,,"27,290","27,300","27,210"
2018-03-29,,"27,210","27,210","27,000"
2018-03-30,,"27,000","27,000","27,190"
2018-03-31,,,,
2018-04-01,,,,
2018-04-02,,"27,190","27,590","27,500"
2018-04-03,,"27,500","27,450","27,450"
2018-04-04,,"27,450","27,440","27,390"
2018-04-05,,"27,390","27,380","27,000"
2018-04-06,,"27,000","27,100","27,100"
2018-04-07,,,,
2018-04-08,,,,
2018-04-09,,,,
2018-04-10,,"27,100","27,030","27,000"
2018-04-11,,"27,000","27,000","27,000"
2018-04-12,,"27,000","27,000","27,000"
2018-04-13,,"27,000","27,000","27,000"
2018-04-14,,,,
2018-04-15,,,,
2018-04-16,,"27,000","27,100","27,500"
2018-04-17,,"27,500","27,500","27,690"
2018-04-18,,"27,690","27,850","27,740"
2018-04-19,,"27,740","28,000","27,740"
2018-04-20,,"27,740","27,740","27,400"
2018-04-21,,,,
2018-04-22,,,,
2018-04-23,,"27,400","27,400","27,340"
2018-04-24,,"27,340","27,990","27,400"
2018-04-25,,"27,400","27,000","27,500"
2018-04-26,,"27,500","27,500","27,500"
