,biat,ref,ouverture,cloture
2018-01-01,,,,
2018-01-02,,,,
2018-01-03,,"118,100","118,000","120,000"
2018-01-04,,"120,000","120,000","118,500"
2018-01-05,,"118,500","118,500","119,900"
2018-01-06,,,,
2018-01-07,,,,
2018-01-08,,"119,900","120,900","122,530"
2018-01-09,,"122,530","123,900","121,900"
2018-01-10,,"121,900","121,500","120,240"
2018-01-11,,"120,240","120,830","122,000"
2018-01-12,,,,
2018-01-13,,,,
2018-01-14,,,,
2018-01-15,,"125,000","126,000","124,900"
2018-01-16,,,,
2018-01-17,,,,
2018-01-18,,,,
2018-01-19,,,,
2018-01-20,,,,
2018-01-21,,,,
2018-01-22,,,,
2018-01-23,,,,
2018-01-24,,,,
2018-01-25,,,,
2018-01-26,,"127,900","129,000","127,000"
2018-01-27,,,,
2018-01-28,,,,
2018-01-29,,,,
2018-01-30,,,,
2018-01-31,,,,
2018-02-01,,,,
2018-02-02,,,,
2018-02-03,,,,
2018-02-04,,,,
2018-02-05,,,,
2018-02-06,,,,
2018-02-07,,,,
2018-02-08,,,,
2018-02-09,,,,
2018-02-10,,,,
2018-02-11,,,,
2018-02-12,,,,
2018-02-13,,,,
2018-02-14,,,,
2018-02-15,,,,
2018-02-16,,,,
2018-02-17,,,,
2018-02-18,,,,
2018-02-19,,,,
2018-02-20,,"132,510","132,700","132,000"
2018-02-21,,"132,000","132,000","132,020"
2018-02-22,,,,
2018-02-23,,,,
2018-02-24,,,,
2018-02-25,,,,
2018-02-26,,,,
2018-02-27,,,,
2018-02-28,,,,
2018-03-01,,,,
2018-03-02,,,,
2018-03-03,,,,
2018-03-04,,,,
2018-03-05,,,,
2018-03-06,,,,
2018-03-07,,"140,000","140,500","141,000"
2018-03-08,,"141,000","141,000","140,900"
2018-03-09,,"140,900","141,000","140,010"
2018-03-10,,,,
2018-03-11,,,,
2018-03-12,,"140,010","140,000","140,100"
2018-03-13,,"140,100","140,100","141,100"
2018-03-14,,"141,100","141,300","141,100"
2018-03-15,,"141,100","140,510","141,250"
2018-03-16,,"141,250","141,000","141,900"
2018-03-17,,,,
2018-03-18,,,,
2018-03-19,,"141,900","141,900","141,500"
2018-03-20,,,,
2018-03-21,,"141,500","141,500","142,300"
2018-03-22,,"142,300","142,700","144,900"
2018-03-23,,"144,900","144,910","147,000"
2018-03-24,,,,
2018-03-25,,,,
2018-03-26,,"147,000","147,010","148,500"
2018-03-27,,"148,500","148,500","149,000"
2018-03-28,,"149,000","149,000","148,980"
2018-03-29,,"148,980","148,970","149,000"
2018-03-30,,"149,000","150,000","150,000"
2018-03-31,,,,
2018-04-01,,,,
2018-04-02,,"150,000","145,630","149,600"
2018-04-03,,"149,600","149,500","149,500"
2018-04-04,,"149,500","149,500","149,300"
2018-04-05,,"149,300","149,300","149,500"
2018-04-06,,"149,500","149,450","147,000"
2018-04-07,,,,
2018-04-08,,,,
2018-04-09,,,,
2018-04-10,,"147,000","146,200","142,010"
2018-04-11,,"142,010","141,000","142,350"
2018-04-12,,"142,350","140,000","142,600"
2018-04-13,,"142,600","143,000","146,400"
2018-04-14,,,,
2018-04-15,,,,
2018-04-16,,"146,400","147,000","146,500"
2018-04-17,,"146,500","147,990","144,000"
2018-04-18,,"144,000","145,000","146,200"
2018-04-19,,"146,200","146,200","145,200"
2018-04-20,,"145,200","145,200","145,000"
2018-04-21,,,,
2018-04-22,,,,
2018-04-23,,"145,000","145,000","145,000"
2018-04-24,,"145,000","143,030","145,000"
2018-04-25,,"145,000","144,990","145,100"
2018-04-26,,"145,100","144,990","145,000"
