,City Cars,ref,ouverture,cloture
2018-01-01,,,,
2018-01-02,,,,
2018-01-03,,"10,750","11,070","11,070"
2018-01-04,,"11,070","11,500","11,000"
2018-01-05,,"11,000","11,470","11,490"
2018-01-06,,,,
2018-01-07,,,,
2018-01-08,,"11,490","11,150","11,350"
2018-01-09,,"11,350","11,350","11,360"
2018-01-10,,"11,360","11,400","11,500"
2018-01-11,,"11,500","11,600","11,500"
2018-01-12,,,,
2018-01-13,,,,
2018-01-14,,,,
2018-01-15,,"11,700","11,550","12,000"
2018-01-16,,,,
2018-01-17,,,,
2018-01-18,,,,
2018-01-19,,,,
2018-01-20,,,,
2018-01-21,,,,
2018-01-22,,,,
2018-01-23,,,,
2018-01-24,,,,
2018-01-25,,,,
2018-01-26,,"12,180",,
2018-01-27,,,,
2018-01-28,,,,
2018-01-29,,,,
2018-01-30,,,,
2018-01-31,,,,
2018-02-01,,,,
2018-02-02,,,,
2018-02-03,,,,
2018-02-04,,,,
2018-02-05,,,,
2018-02-06,,,,
2018-02-07,,,,
2018-02-08,,,,
2018-02-09,,,,
2018-02-10,,,,
2018-02-11,,,,
2018-02-12,,,,
2018-02-13,,,,
2018-02-14,,,,
2018-02-15,,,,
2018-02-16,,,,
2018-02-17,,,,
2018-02-18,,,,
2018-02-19,,,,
2018-02-20,,"11,800","11,800","11,800"
2018-02-21,,"11,800","11,800","11,800"
2018-02-22,,,,
2018-02-23,,,,
2018-02-24,,,,
2018-02-25,,,,
2018-02-26,,,,
2018-02-27,,,,
2018-02-28,,,,
2018-03-01,,,,
2018-03-02,,,,
2018-03-03,,,,
2018-03-04,,,,
2018-03-05,,,,
2018-03-06,,,,
2018-03-07,,"11,700","11,680","11,680"
2018-03-08,,"11,680","11,400","11,650"
2018-03-09,,"11,650","11,500","11,500"
2018-03-10,,,,
2018-03-11,,,,
2018-03-12,,"11,500","11,500","11,500"
2018-03-13,,"11,500","11,400","11,400"
2018-03-14,,"11,400","11,400","11,380"
2018-03-15,,"11,380","11,220","11,220"
2018-03-16,,"11,220","11,220","11,230"
2018-03-17,,,,
2018-03-18,,,,
2018-03-19,,"11,230","11,230","11,230"
2018-03-20,,,,
2018-03-21,,"11,230","11,380","11,400"
2018-03-22,,"11,400","11,570","11,500"
2018-03-23,,"11,500","11,650","11,500"
2018-03-24,,,,
2018-03-25,,,,
2018-03-26,,"11,500","11,500","11,500"
2018-03-27,,"11,500","11,500","11,500"
2018-03-28,,"11,500","11,400","11,400"
2018-03-29,,"11,400","11,400","11,400"
2018-03-30,,"11,400","11,650","11,650"
2018-03-31,,,,
2018-04-01,,,,
2018-04-02,,"11,650","11,600","11,650"
2018-04-03,,"11,650","11,900","11,700"
2018-04-04,,"11,700","11,400","11,650"
2018-04-05,,"11,650","11,650","11,650"
2018-04-06,,"11,650","11,650","11,650"
2018-04-07,,,,
2018-04-08,,,,
2018-04-09,,,,
2018-04-10,,"11,650","11,650","11,640"
2018-04-11,,"11,640","11,650","11,650"
2018-04-12,,"11,650","11,650","11,650"
2018-04-13,,"11,650","11,640","11,310"
2018-04-14,,,,
2018-04-15,,,,
2018-04-16,,"11,310","11,310","11,310"
2018-04-17,,"11,310","11,300","11,300"
2018-04-18,,"11,300","11,310","11,600"
2018-04-19,,"11,600","11,600","11,600"
2018-04-20,,"11,600","11,600","11,500"
2018-04-21,,,,
2018-04-22,,,,
2018-04-23,,"11,500","11,650","11,310"
2018-04-24,,"11,310","11,210","11,350"
2018-04-25,,"11,350","11,600","11,500"
2018-04-26,,"11,500","11,600","11,500"
