,EURO-CYLES,ref,ouverture,cloture
2018-01-01,,,,
2018-01-02,,,,
2018-01-03,,"26,500","26,500","27,500"
2018-01-04,,"27,500","28,000","28,490"
2018-01-05,,"28,490","28,480","27,990"
2018-01-06,,,,
2018-01-07,,,,
2018-01-08,,"27,990","28,440","28,170"
2018-01-09,,"28,170","27,990","28,000"
2018-01-10,,"28,000","27,680","27,000"
2018-01-11,,"27,000","27,020","27,400"
2018-01-12,,,,
2018-01-13,,,,
2018-01-14,,,,
2018-01-15,,"27,400","27,890","27,700"
2018-01-16,,,,
2018-01-17,,,,
2018-01-18,,,,
2018-01-19,,,,
2018-01-20,,,,
2018-01-21,,,,
2018-01-22,,,,
2018-01-23,,,,
2018-01-24,,,,
2018-01-25,,,,
2018-01-26,,"26,800","26,800","27,480"
2018-01-27,,,,
2018-01-28,,,,
2018-01-29,,,,
2018-01-30,,,,
2018-01-31,,,,
2018-02-01,,,,
2018-02-02,,,,
2018-02-03,,,,
2018-02-04,,,,
2018-02-05,,,,
2018-02-06,,,,
2018-02-07,,,,
2018-02-08,,,,
2018-02-09,,,,
2018-02-10,,,,
2018-02-11,,,,
2018-02-12,,,,
2018-02-13,,,,
2018-02-14,,,,
2018-02-15,,,,
2018-02-16,,,,
2018-02-17,,,,
2018-02-18,,,,
2018-02-19,,,,
2018-02-20,,"30,000","30,000","30,200"
2018-02-21,,"30,200","30,000","31,100"
2018-02-22,,,,
2018-02-23,,,,
2018-02-24,,,,
2018-02-25,,,,
2018-02-26,,,,
2018-02-27,,,,
2018-02-28,,,,
2018-03-01,,,,
2018-03-02,,,,
2018-03-03,,,,
2018-03-04,,,,
2018-03-05,,,,
2018-03-06,,,,
2018-03-07,,"34,610","34,600","34,500"
2018-03-08,,"34,500","34,600","34,500"
2018-03-09,,"34,500","34,400","34,500"
2018-03-10,,,,
2018-03-11,,,,
2018-03-12,,"34,500","34,400","34,500"
2018-03-13,,"34,500","34,600","34,320"
2018-03-14,,"34,320","34,990","34,300"
2018-03-15,,"34,300","34,300","34,000"
2018-03-16,,"34,000","34,300","33,500"
2018-03-17,,,,
2018-03-18,,,,
2018-03-19,,"33,280","33,200","32,450"
2018-03-20,,,,
2018-03-21,,"32,450","32,410","31,800"
2018-03-22,,"31,800","31,800","31,620"
2018-03-23,,"31,620","31,650","31,450"
2018-03-24,,,,
2018-03-25,,,,
2018-03-26,,"31,450","31,430","32,000"
2018-03-27,,"32,000","32,000","32,000"
2018-03-28,,"32,000","31,980","31,980"
2018-03-29,,"31,980","31,750","31,550"
2018-03-30,,"31,550","31,500","31,500"
2018-03-31,,,,
2018-04-01,,,,
2018-04-02,,"31,500","31,500","31,400"
2018-04-03,,"31,400","31,990","31,500"
2018-04-04,,"31,500","31,980","31,400"
2018-04-05,,"31,400","31,400","31,000"
2018-04-06,,"31,000","31,000","30,950"
2018-04-07,,,,
2018-04-08,,,,
2018-04-09,,,,
2018-04-10,,"30,950","31,580","30,950"
2018-04-11,,"30,950","31,370","30,430"
2018-04-12,,"30,430","31,000","30,400"
2018-04-13,,"30,400","30,970","30,290"
2018-04-14,,,,
2018-04-15,,,,
2018-04-16,,"30,290","30,280","30,000"
2018-04-17,,"30,000","29,600","29,500"
2018-04-18,,"29,500","29,490","28,970"
2018-04-19,,"28,970","29,830","28,940"
2018-04-20,,"28,940","28,940","28,080"
2018-04-21,,,,
2018-04-22,,,,
2018-04-23,,"28,080","27,900","28,000"
2018-04-24,,"28,000","28,000","28,000"
2018-04-25,,"28,000","28,000","27,500"
2018-04-26,,"27,500","27,500","27,450"
