,SFBT,ref,ouverture,cloture
2018-01-01,,,,
2018-01-02,,,,
2018-01-03,,"19,400","19,310","19,880"
2018-01-04,,"19,880","19,880","19,780"
2018-01-05,,"19,780","19,620","19,780"
2018-01-06,,,,
2018-01-07,,,,
2018-01-08,,"19,780","19,780","19,900"
2018-01-09,,"19,900","19,910","19,610"
2018-01-10,,"19,610","19,630","19,600"
2018-01-11,,"19,600","19,620","19,500"
2018-01-12,,,,
2018-01-13,,,,
2018-01-14,,,,
2018-01-15,,"19,860","19,720","19,550"
2018-01-16,,,,
2018-01-17,,,,
2018-01-18,,,,
2018-01-19,,,,
2018-01-20,,,,
2018-01-21,,,,
2018-01-22,,,,
2018-01-23,,,,
2018-01-24,,,,
2018-01-25,,,,
2018-01-26,,"19,650","19,610","19,650"
2018-01-27,,,,
2018-01-28,,,,
2018-01-29,,,,
2018-01-30,,,,
2018-01-31,,,,
2018-02-01,,,,
2018-02-02,,,,
2018-02-03,,,,
2018-02-04,,,,
2018-02-05,,,,
2018-02-06,,,,
2018-02-07,,,,
2018-02-08,,,,
2018-02-09,,,,
2018-02-10,,,,
2018-02-11,,,,
2018-02-12,,,,
2018-02-13,,,,
2018-02-14,,,,
2018-02-15,,,,
2018-02-16,,,,
2018-02-17,,,,
2018-02-18,,,,
2018-02-19,,,,
2018-02-20,,"19,800","19,820","20,000"
2018-02-21,,"20,000","20,000","20,200"
2018-02-22,,,,
2018-02-23,,,,
2018-02-24,,,,
2018-02-25,,,,
2018-02-26,,,,
2018-02-27,,,,
2018-02-28,,,,
2018-03-01,,,,
2018-03-02,,,,
2018-03-03,,,,
2018-03-04,,,,
2018-03-05,,,,
2018-03-06,,,,
2018-03-07,,"21,400",,
2018-03-08,,"22,360","23,280","22,370"
2018-03-09,,"22,370","22,860","22,840"
2018-03-10,,,,
2018-03-11,,,,
2018-03-12,,"22,840","22,540","22,600"
2018-03-13,,"22,600","22,630","22,900"
2018-03-14,,"22,900","23,000","23,200"
2018-03-15,,"23,200","23,550","23,410"
2018-03-16,,"23,410","23,450","23,690"
2018-03-17,,,,
2018-03-18,,,,
2018-03-19,,"23,690","23,460","23,500"
2018-03-20,,,,
2018-03-21,,"23,500","23,500","23,300"
2018-03-22,,"23,300","23,300","23,500"
2018-03-23,,"23,500","23,490","23,300"
2018-03-24,,,,
2018-03-25,,,,
2018-03-26,,"23,300","23,500","23,330"
2018-03-27,,"23,330","23,330","23,500"
2018-03-28,,"23,500","23,500","23,500"
2018-03-29,,"23,500","23,500","23,600"
2018-03-30,,"23,600","23,600","23,580"
2018-03-31,,,,
2018-04-01,,,,
2018-04-02,,"23,580","23,580","23,680"
2018-04-03,,"23,680","23,600","23,600"
2018-04-04,,"23,600","23,600","23,600"
2018-04-05,,"23,600","23,590","23,670"
2018-04-06,,"23,670","23,670","23,460"
2018-04-07,,,,
2018-04-08,,,,
2018-04-09,,,,
2018-04-10,,"23,460","23,470","23,000"
2018-04-11,,"23,000","23,000","23,000"
2018-04-12,,"23,000","23,300","23,600"
2018-04-13,,"23,600","23,600","23,500"
2018-04-14,,,,
2018-04-15,,,,
2018-04-16,,"23,500","23,500","23,600"
2018-04-17,,"23,600","23,600","23,500"
2018-04-18,,"23,500","23,500","24,000"
2018-04-19,,"24,000","23,880","23,990"
2018-04-20,,"23,990","24,000","24,290"
2018-04-21,,,,
2018-04-22,,,,
2018-04-23,,"24,290","24,010","24,500"
2018-04-24,,"24,500","24,460","24,390"
2018-04-25,,"24,390","24,250","24,200"
2018-04-26,,"24,200","24,000","23,940"
