,tijari,ref,ouverture,cloture
2018-01-01,,,,
2018-01-02,,,,
2018-01-03,,"36,600","36,000","36,150"
2018-01-04,,"36,150","36,160","36,470"
2018-01-05,,"36,470","36,410","36,860"
2018-01-06,,,,
2018-01-07,,,,
2018-01-08,,"36,860","36,890","37,330"
2018-01-09,,"37,330","37,330","37,370"
2018-01-10,,"37,370","37,370","37,500"
2018-01-11,,"37,500","37,420","38,400"
2018-01-12,,,,
2018-01-13,,,,
2018-01-14,,,,
2018-01-15,,"39,100","39,500","39,800"
2018-01-16,,,,
2018-01-17,,,,
2018-01-18,,,,
2018-01-19,,,,
2018-01-20,,,,
2018-01-21,,,,
2018-01-22,,,,
2018-01-23,,,,
2018-01-24,,,,
2018-01-25,,,,
2018-01-26,,"43,090","43,350","43,650"
2018-01-27,,,,
2018-01-28,,,,
2018-01-29,,,,
2018-01-30,,,,
2018-01-31,,,,
2018-02-01,,,,
2018-02-02,,,,
2018-02-03,,,,
2018-02-04,,,,
2018-02-05,,,,
2018-02-06,,,,
2018-02-07,,,,
2018-02-08,,,,
2018-02-09,,,,
2018-02-10,,,,
2018-02-11,,,,
2018-02-12,,,,
2018-02-13,,,,
2018-02-14,,,,
2018-02-15,,,,
2018-02-16,,,,
2018-02-17,,,,
2018-02-18,,,,
2018-02-19,,,,
2018-02-20,,"45,810","45,810","46,000"
2018-02-21,,"46,000","46,000","46,890"
2018-02-22,,,,
2018-02-23,,,,
2018-02-24,,,,
2018-02-25,,,,
2018-02-26,,,,
2018-02-27,,,,
2018-02-28,,,,
2018-03-01,,,,
2018-03-02,,,,
2018-03-03,,,,
2018-03-04,,,,
2018-03-05,,,,
2018-03-06,,,,
2018-03-07,,"46,950","46,990","46,800"
2018-03-08,,"46,800","46,800","46,650"
2018-03-09,,"46,650","46,650","46,300"
2018-03-10,,,,
2018-03-11,,,,
2018-03-12,,"46,300","46,300","46,200"
2018-03-13,,"46,200","46,300","46,400"
2018-03-14,,"46,400","46,350","46,400"
2018-03-15,,"46,400","46,200","46,200"
2018-03-16,,"46,200","46,400","47,250"
2018-03-17,,,,
2018-03-18,,,,
2018-03-19,,"47,250","46,650","47,200"
2018-03-20,,,,
2018-03-21,,"47,200","47,200","46,800"
2018-03-22,,"46,800","46,660","47,010"
2018-03-23,,"47,010","47,200","48,000"
2018-03-24,,,,
2018-03-25,,,,
2018-03-26,,"48,000","47,210","48,120"
2018-03-27,,"48,120","48,000","49,020"
2018-03-28,,"49,020","49,020","49,100"
2018-03-29,,"49,100","49,300","50,300"
2018-03-30,,"50,300","50,300","49,960"
2018-03-31,,,,
2018-04-01,,,,
2018-04-02,,"49,960","49,950","50,400"
2018-04-03,,"50,400","50,060","51,300"
2018-04-04,,"51,300","51,010","50,020"
2018-04-05,,"50,020","51,400","50,890"
2018-04-06,,"50,890","50,800","49,650"
2018-04-07,,,,
2018-04-08,,,,
2018-04-09,,,,
2018-04-10,,"49,650","47,420","46,630"
2018-04-11,,"46,630","44,540","45,490"
2018-04-12,,"45,490","45,000","45,810"
2018-04-13,,"45,810","46,000","48,000"
2018-04-14,,,,
2018-04-15,,,,
2018-04-16,,"48,000","47,990","47,680"
2018-04-17,,"47,680","47,870","47,190"
2018-04-18,,"47,190","47,200","47,490"
2018-04-19,,"47,490","47,300","46,450"
2018-04-20,,"46,450","46,450","46,100"
2018-04-21,,,,
2018-04-22,,,,
2018-04-23,,"46,100","46,100","46,000"
2018-04-24,,"46,000","45,920","45,500"
2018-04-25,,"45,500","45,480","45,480"
2018-04-26,,"45,480","45,300","44,860"
