,Date,IPI,MTT,Import,Export,BalCom,Pib1,Pib2
0,2018-01-01,92.8,5.53,3129.5,4339,,1694.2,18158.6
1,2018-02-01,88.3,5.61,3482.6,4486.3,-1221.8,1694.2,18158.6
2,2018-03-01,92.6,6.04,3569.9,5009.6,-1220.8,1694.2,18158.6
3,2018-04-01,89.5,6.5,3360.5,4791,-1219.8,1709.1,18229.5
4,2018-05-01,94.8,6.39,3473.8,5012.9,-1218.8,1709.1,18229.5
5,2018-06-01,94.2,6.72,3338.2,4878.6,-1217.8,1709.1,18229.5
6,2018-07-01,97.9,7.25,3225.5,5007.1,-1216.8,1708.1,18268.1
7,2018-08-01,89,7.25,2778.6,4992.6,-1215.8,1708.1,18268.1
8,2018-09-01,92.9,7.29,3122.9,5145.6,-1214.8,1708.1,18268.1
9,2018-10-01,94.1,7.27,3753.1,5555.4,-1213.8,1711.5,18321.6
10,2018-11-01,88.5,7.25,3888,5232.5,-1212.8,1711.5,18321.6
11,2018-12-01,91.3,7.24,3863.3,5582.5,-1211.8,1711.5,18321.6
12,2019-01-01,88.3,7.24,3815.5,5383.8,-1210.8,1716.6,18364.4
13,2019-02-01,86.3,7.28,3903.9,4798,-1209.8,1716.6,18364.4
14,2019-03-01,90.6,7.9,4127,5637.9,-1208.8,1716.6,18364.4
15,2019-04-01,86.8,7.86,3929.9,6293.5,-1207.8,1719.8,18445.7
16,2019-05-01,89.6,7.83,3813.9,5583.1,-1206.8,1719.8,18445.7
17,2019-06-01,89.4,7.83,3314,4988.5,-1205.8,1719.8,18445.7
18,2019-07-01,95.2,7.83,3799.2,5182.5,-1204.8,1719.8,18445.7
19,2019-08-01,85.1,7.83,2820.3,4520.6,-1203.8,1764.4,18440.9
20,2019-09-01,88.9,7.82,3484.6,5468.6,-1202.8,1764.4,18440.9
21,2019-10-01,91,7.81,3719.9,5378.3,-1201.8,1755.2,18488.1
22,2019-11-01,85.8,7.8,3651.7,4944.5,-1200.8,1755.2,18488.1
23,2019-12-01,92.3,7.81,3475.4,5084.8,-1199.8,1755.2,18488.1
24,2020-01-01,96.1,7.81,3655.6,4626.1,-1198.8,1657.2,17996.1
25,2020-02-01,93.9,7.84,3951.2,5299.7,-1197.8,1657.2,17996.1
26,2020-03-01,78.3,7.35,2908.2,4094.8,-1196.8,1657.2,17996.1
27,2020-04-01,52.6,6.8,2006.3,3345.2,-1195.8,1603.9,14592.8
28,2020-05-01,71.7,6.8,2400.1,3655.5,-1194.8,1603.9,14592.8
29,2020-06-01,92.8,6.8,3271.4,3774.3,-1193.8,1603.9,14592.8
30,2020-07-01,93.3,6.82,3303.5,4267.8,-1192.8,1611.6,17369.8
31,2020-08-01,86.8,6.79,2536.1,4182.6,-1191.8,1611.6,17369.8
32,2020-09-01,89.1,6.76,3504.6,4427.4,-1190.8,1611.6,17369.8
33,2020-10-01,,6.3,3792.4,4435.9,-1189.8,,
34,2020-11-01,,6.13,3621,4507.6,-1188.8,,
35,2020-12-01,,,,,-1187.8,,
,,,,,,-1186.8,,
